rid,time,satnum,elev,azim,SNR
1,13:29:49 Z,01,08,159,10
1,13:29:49 Z,03,44,104,27
1,13:29:49 Z,04,78,087,31
1,13:29:49 Z,06,48,296,22
1,13:29:49 Z,07,06,183,
1,13:29:49 Z,09,60,229,36
1,13:29:49 Z,11,18,316,17
1,13:29:49 Z,17,09,229,
1,13:29:49 Z,19,21,251,29
1,13:29:49 Z,26,07,075,15
1,13:29:49 Z,31,15,036,15
2,13:29:54 Z,01,08,159,13
2,13:29:54 Z,03,44,104,34
2,13:29:54 Z,04,78,087,27
2,13:29:54 Z,06,48,296,28
2,13:29:54 Z,07,06,183,
2,13:29:54 Z,09,60,229,40
2,13:29:54 Z,11,18,316,18
2,13:29:54 Z,17,09,229,
2,13:29:54 Z,19,21,251,29
2,13:29:54 Z,26,08,075,12
2,13:29:54 Z,31,15,036,16
3,13:29:59 Z,01,08,159,09
3,13:29:59 Z,03,44,104,33
3,13:29:59 Z,04,78,087,24
3,13:29:59 Z,06,48,296,21
3,13:29:59 Z,07,06,183,
3,13:29:59 Z,09,60,229,35
3,13:29:59 Z,11,18,316,21
3,13:29:59 Z,17,09,229,
3,13:29:59 Z,19,21,251,33
3,13:29:59 Z,26,08,075,08
3,13:29:59 Z,31,14,036,14
4,13:30:04 Z,01,08,159,11
4,13:30:04 Z,03,44,104,32
4,13:30:04 Z,04,78,087,30
4,13:30:04 Z,06,48,296,24
4,13:30:04 Z,07,06,183,
4,13:30:04 Z,09,60,229,39
4,13:30:04 Z,11,18,316,17
4,13:30:04 Z,17,09,229,
4,13:30:04 Z,19,21,251,27
4,13:30:04 Z,26,08,075,09
4,13:30:04 Z,31,14,036,15
5,13:30:09 Z,01,08,159,09
5,13:30:09 Z,03,44,104,33
5,13:30:09 Z,04,78,087,27
5,13:30:09 Z,06,48,296,24
5,13:30:09 Z,07,06,183,
5,13:30:09 Z,09,60,229,38
5,13:30:09 Z,11,18,316,22
5,13:30:09 Z,17,09,229,
5,13:30:09 Z,19,21,251,35
5,13:30:09 Z,26,08,075,13
5,13:30:09 Z,31,14,036,11
6,13:30:14 Z,01,08,159,08
6,13:30:14 Z,03,44,104,37
6,13:30:14 Z,04,78,087,31
6,13:30:14 Z,06,48,296,27
6,13:30:14 Z,07,06,183,
6,13:30:14 Z,09,60,229,31
6,13:30:14 Z,11,18,316,16
6,13:30:14 Z,17,09,229,16
6,13:30:14 Z,19,21,251,37
6,13:30:14 Z,26,08,075,12
6,13:30:14 Z,31,14,036,19
7,13:30:19 Z,01,08,159,10
7,13:30:19 Z,03,43,104,30
7,13:30:19 Z,04,77,086,26
7,13:30:19 Z,06,49,296,22
7,13:30:19 Z,07,06,182,
7,13:30:19 Z,09,60,229,29
7,13:30:19 Z,11,18,316,24
7,13:30:19 Z,17,09,229,08
7,13:30:19 Z,19,21,251,38
7,13:30:19 Z,26,08,075,14
7,13:30:19 Z,31,14,036,21
8,13:30:24 Z,01,08,159,13
8,13:30:24 Z,03,43,104,29
8,13:30:24 Z,04,77,086,20
8,13:30:24 Z,06,49,296,15
8,13:30:24 Z,07,06,182,
8,13:30:24 Z,09,60,229,37
8,13:30:24 Z,11,18,316,18
8,13:30:24 Z,17,09,229,
8,13:30:24 Z,19,21,251,28
8,13:30:24 Z,26,08,075,
8,13:30:24 Z,31,14,036,15
9,13:30:29 Z,01,08,159,09
9,13:30:29 Z,03,43,104,32
9,13:30:29 Z,04,77,086,21
9,13:30:29 Z,06,49,296,19
9,13:30:29 Z,07,06,182,
9,13:30:29 Z,09,60,229,37
9,13:30:29 Z,11,18,316,16
9,13:30:29 Z,17,09,228,18
9,13:30:29 Z,19,21,251,31
9,13:30:29 Z,26,08,075,
9,13:30:29 Z,31,14,036,14
10,13:30:34 Z,01,08,159,08
10,13:30:34 Z,03,43,104,35
10,13:30:34 Z,04,77,086,27
10,13:30:34 Z,06,49,296,20
10,13:30:34 Z,07,06,182,
10,13:30:34 Z,09,60,229,25
10,13:30:34 Z,11,18,316,13
10,13:30:34 Z,17,09,228,16
10,13:30:34 Z,19,21,251,21
10,13:30:34 Z,26,08,075,
10,13:30:34 Z,31,14,036,17
11,13:30:39 Z,01,08,159,11
11,13:30:39 Z,03,43,104,35
11,13:30:39 Z,04,77,086,27
11,13:30:39 Z,06,49,296,19
11,13:30:39 Z,07,06,182,
11,13:30:39 Z,09,60,229,33
11,13:30:39 Z,11,18,316,15
11,13:30:39 Z,17,09,228,
11,13:30:39 Z,19,21,251,31
11,13:30:39 Z,26,08,075,
11,13:30:39 Z,31,14,036,13
12,13:30:44 Z,01,08,159,09
12,13:30:44 Z,03,43,104,33
12,13:30:44 Z,04,77,086,30
12,13:30:44 Z,06,49,296,22
12,13:30:44 Z,07,06,182,
12,13:30:44 Z,09,60,229,37
12,13:30:44 Z,11,18,316,09
12,13:30:44 Z,17,09,228,
12,13:30:44 Z,19,21,251,29
12,13:30:44 Z,26,08,075,
12,13:30:44 Z,31,14,036,18
13,13:30:49 Z,01,08,159,08
13,13:30:49 Z,03,43,104,33
13,13:30:49 Z,04,77,086,26
13,13:30:49 Z,06,49,296,29
13,13:30:49 Z,07,06,182,
13,13:30:49 Z,09,60,229,37
13,13:30:49 Z,11,18,316,15
13,13:30:49 Z,17,09,228,
13,13:30:49 Z,19,21,251,27
13,13:30:49 Z,26,08,075,
13,13:30:49 Z,31,14,036,12
14,13:30:54 Z,01,08,159,09
14,13:30:54 Z,03,43,104,35
14,13:30:54 Z,04,77,086,27
14,13:30:54 Z,06,49,296,30
14,13:30:54 Z,07,06,182,
14,13:30:54 Z,09,60,229,34
14,13:30:54 Z,11,18,316,15
14,13:30:54 Z,17,09,228,14
14,13:30:54 Z,19,21,251,27
14,13:30:54 Z,26,08,075,
14,13:30:54 Z,31,14,036,12
15,13:30:59 Z,01,08,159,08
15,13:30:59 Z,03,43,104,29
15,13:30:59 Z,04,77,086,31
15,13:30:59 Z,06,49,296,21
15,13:30:59 Z,07,06,182,
15,13:30:59 Z,09,60,229,44
15,13:30:59 Z,11,18,316,16
15,13:30:59 Z,17,09,228,
15,13:30:59 Z,19,21,251,32
15,13:30:59 Z,26,08,075,
15,13:30:59 Z,31,14,036,12
16,13:31:04 Z,01,08,159,09
16,13:31:04 Z,03,43,104,32
16,13:31:04 Z,04,77,085,28
16,13:31:04 Z,06,49,295,12
16,13:31:04 Z,07,07,182,
16,13:31:04 Z,09,60,229,28
16,13:31:04 Z,11,18,316,22
16,13:31:04 Z,17,09,228,19
16,13:31:04 Z,19,21,251,35
16,13:31:04 Z,26,08,075,
16,13:31:04 Z,31,14,036,15
17,13:31:09 Z,01,08,159,09
17,13:31:09 Z,03,43,104,25
17,13:31:09 Z,04,77,085,26
17,13:31:09 Z,06,49,295,21
17,13:31:09 Z,07,07,182,
17,13:31:09 Z,09,60,229,26
17,13:31:09 Z,11,18,315,19
17,13:31:09 Z,17,09,228,14
17,13:31:09 Z,19,21,251,34
17,13:31:09 Z,26,08,075,
17,13:31:09 Z,31,14,036,07
18,13:31:14 Z,01,08,159,11
18,13:31:14 Z,03,43,104,34
18,13:31:14 Z,04,77,085,29
18,13:31:14 Z,06,49,295,25
18,13:31:14 Z,07,07,182,
18,13:31:14 Z,09,60,229,28
18,13:31:14 Z,11,18,315,
18,13:31:14 Z,17,09,228,19
18,13:31:14 Z,19,21,251,32
18,13:31:14 Z,26,08,075,
18,13:31:14 Z,31,14,036,12
19,13:31:19 Z,01,08,159,12
19,13:31:19 Z,03,43,104,26
19,13:31:19 Z,04,77,085,27
19,13:31:19 Z,06,49,295,27
19,13:31:19 Z,07,07,182,
19,13:31:19 Z,09,60,229,26
19,13:31:19 Z,11,18,315,17
19,13:31:19 Z,17,09,228,09
19,13:31:19 Z,19,20,251,31
19,13:31:19 Z,26,08,075,
19,13:31:19 Z,31,14,036,17
20,13:31:24 Z,01,08,159,11
20,13:31:24 Z,03,43,104,32
20,13:31:24 Z,04,77,085,28
20,13:31:24 Z,06,49,295,26
21,13:31:24 Z,01,08,159,11
21,13:31:24 Z,03,43,104,32
21,13:31:24 Z,04,77,085,28
21,13:31:24 Z,06,49,295,26
21,13:31:24 Z,07,07,182,
21,13:31:24 Z,09,60,229,33
21,13:31:24 Z,11,18,315,09
21,13:31:24 Z,17,09,228,08
21,13:31:24 Z,19,20,251,34
21,13:31:24 Z,26,08,075,
21,13:31:24 Z,31,14,036,11
22,13:31:29 Z,01,08,159,11
22,13:31:29 Z,03,43,104,31
22,13:31:29 Z,04,77,085,20
22,13:31:29 Z,06,49,295,22
22,13:31:29 Z,07,07,182,
22,13:31:29 Z,09,60,229,28
22,13:31:29 Z,11,18,315,13
22,13:31:29 Z,17,09,228,11
22,13:31:29 Z,19,20,251,34
22,13:31:29 Z,26,08,075,
