fid,rid,time,lat,lng,_count,_sum,_mean,_median,_stdev,_min,_max
"1","0",11:09:51.000,49.502573167000001,5.948926883300000,3127.000000000000000,45151.823364257819776,14.439342297492106,14.266174316406250,8.776982953905136,1.004791259765625,74.108917236328125
"2","1",11:09:53.000,49.502661416999999,5.948894066700000,2971.000000000000000,41628.277526855468750,14.011537370197061,14.238586425781250,8.196561461188059,1.004791259765625,74.108917236328125
"3","2",11:09:54.000,49.502650733000003,5.948899016700000,2990.000000000000000,41956.173034667968750,14.032164894537782,14.228652954101562,8.257795522742679,1.004791259765625,74.108917236328125
"4","3",11:09:55.000,49.502642733000002,5.948907550000000,2992.000000000000000,42129.146270751960401,14.080597015625653,14.241088867187500,8.286162029183981,1.004791259765625,74.108917236328125
"5","4",11:09:56.000,49.502632917000000,5.948911133300000,2991.000000000000000,42195.662994384765625,14.107543629015302,14.241058349609377,8.302496978787323,1.004791259765625,74.108917236328125
"6","5",11:09:57.000,49.502618499999997,5.948909633300000,2993.000000000000000,42223.540527343750000,14.107430847759357,14.227050781250000,8.367158433756231,1.004791259765625,74.108917236328125
"7","6",11:09:58.000,49.502610267000001,5.948901433300000,3014.000000000000000,42410.785491943359375,14.071262605157054,14.219238281250000,8.376663090736098,1.004791259765625,74.108917236328125
"8","7",11:09:59.000,49.502611166999998,5.948898266700000,3014.000000000000000,42432.002136230468750,14.078301969552246,14.220016479492188,8.374757075046452,1.004791259765625,74.108917236328125
"9","8",11:10:00.000,49.502606282999999,5.948894050000000,3024.000000000000000,42535.171325683593750,14.065863533625526,14.219009399414062,8.388513052526726,1.004791259765625,74.108917236328125
"10","9",11:10:01.000,49.502612816999999,5.948893366700000,3012.000000000000000,42412.936370849609375,14.081320176244891,14.220016479492188,8.375607970545444,1.004791259765625,74.108917236328125
"11","10",11:10:02.000,49.502606282999999,5.948899766700000,3021.000000000000000,42498.107208251945849,14.067562796508426,14.219238281250000,8.387946575801854,1.004791259765625,74.108917236328125
"12","11",11:10:03.000,49.502621333000000,5.948923233300000,2998.000000000000000,42297.469451904296875,14.108562192096164,14.231170654296877,8.345233582418000,1.004791259765625,74.108917236328125
"13","12",11:10:04.000,49.502625332999997,5.948924200000000,2984.000000000000000,42150.590972900390625,14.125533167862063,14.241088867187500,8.328579841691912,1.004791259765625,74.108917236328125
"14","13",11:10:05.000,49.502625766999998,5.948919250000000,2984.000000000000000,42131.947570800781250,14.119285378954686,14.239822387695312,8.330974271723129,1.004791259765625,74.108917236328125
"15","14",11:10:06.000,49.502632533000003,5.948908550000000,2990.000000000000000,42177.730102539062500,14.106264248340821,14.239822387695312,8.303590450405526,1.004791259765625,74.108917236328125
"16","15",11:10:07.000,49.502644533000002,5.948918650000000,2991.000000000000000,41982.647064208984375,14.036324662055829,14.232086181640623,8.257588718377402,1.004791259765625,74.108917236328125
"17","16",11:10:08.000,49.502648483000002,5.948920883300000,2981.000000000000000,41779.699127197258349,14.015330133242960,14.227050781250000,8.222538179749447,1.004791259765625,74.108917236328125
"18","17",11:10:09.000,49.502634166999997,5.948926133300000,2999.000000000000000,42219.087188720703125,14.077721636785830,14.237945556640623,8.280522682896196,1.004791259765625,74.108917236328125
"19","18",11:10:10.000,49.502623282999998,5.948928300000000,2991.000000000000000,42189.085327148430224,14.105344475810243,14.232086181640623,8.327675866250216,1.004791259765625,74.108917236328125
"20","19",11:10:11.000,49.502614567000002,5.948923033300000,2994.000000000000000,42243.298706054687500,14.109318205095086,14.228652954101562,8.368109155548584,1.004791259765625,74.108917236328125
"21","20",11:10:12.000,49.502604566999999,5.948920566700000,3016.000000000000000,42464.941192626953125,14.079887663337850,14.220016479492188,8.382979474144850,1.004791259765625,74.108917236328125
"22","21",11:10:13.000,49.502595833000001,5.948913050000000,3046.000000000000000,42851.294738769538526,14.068054740239505,14.217575073242188,8.417343087131004,1.004791259765625,74.108917236328125
"23","22",11:10:14.000,49.502578733000000,5.948924250000000,3114.000000000000000,44590.241607666015625,14.319281184221586,14.250137329101562,8.668995462975412,1.004791259765625,74.108917236328125
"24","23",11:10:15.000,49.502563567000003,5.948910883300000,3194.000000000000000,47223.237457275390625,14.784983549553973,14.304000854492188,9.118721341897787,1.004791259765625,74.108917236328125
"25","24",11:10:16.000,49.502559183000002,5.948911583300000,3216.000000000000000,47803.502410888671875,14.864273137714139,14.306594848632812,9.189688022516759,1.004791259765625,74.108917236328125
"26","25",11:10:17.000,49.502559232999999,5.948900100000000,3238.000000000000000,48412.949737548828125,14.951497757118229,14.309310913085938,9.285649932262368,1.004791259765625,74.108917236328125
"27","26",11:10:18.000,49.502549533000000,5.948893733300000,3296.000000000000000,49875.636138916015625,15.132171158651701,14.315353393554688,9.508156110969132,1.004791259765625,74.108917236328125
"28","27",11:10:19.000,49.502544649999997,5.948887250000000,3327.000000000000000,50751.799987792968750,15.254523591161096,14.320404052734377,9.640893282765015,1.004791259765625,74.108917236328125
"29","28",11:10:20.000,49.502538033000000,5.948879983300000,3375.000000000000000,51751.212585449218750,15.333692617910881,14.321380615234377,9.758310455500281,1.004791259765625,74.108917236328125
"30","29",11:10:21.000,49.502528683000001,5.948869216700000,3446.000000000000000,53388.918273925781250,15.493011687151997,14.332901000976562,9.963141794033872,1.004791259765625,74.108917236328125
"31","30",11:10:22.000,49.502516917000001,5.948858683300000,3522.000000000000000,55117.891845703125000,15.649600183334220,14.340423583984377,10.201242817024317,1.004791259765625,74.108917236328125
"32","31",11:10:23.000,49.502505417000002,5.948853300000000,3583.000000000000000,56417.316253662109375,15.745832055166650,14.347961425781250,10.338980052004487,1.004791259765625,74.108917236328125
"33","32",11:10:24.000,49.502497183000003,5.948851783300000,3636.000000000000000,57715.667266845703125,15.873395837966367,14.358123779296877,10.471629256175447,1.004791259765625,74.108917236328125
"34","33",11:10:25.000,49.502489900000000,5.948850600000000,3668.000000000000000,58392.741516113281250,15.919504230129030,14.358123779296877,10.533383215273584,1.004791259765625,74.108917236328125
"35","34",11:10:26.000,49.502479782999998,5.948847533300000,3718.000000000000000,59395.019348144531250,15.974991755821552,14.355102539062500,10.636077014696308,1.004791259765625,74.108917236328125
"36","35",11:10:27.000,49.502466683000002,5.948839783300000,3757.000000000000000,60182.428710937500000,16.018745997055497,14.361755371093750,10.755108546481543,1.004791259765625,74.108917236328125
"37","36",11:10:28.000,49.502454600000000,5.948831900000000,3778.000000000000000,61047.096618652343750,16.158575071109674,14.384643554687500,10.901166883263555,1.004791259765625,74.108917236328125
"38","37",11:10:29.000,49.502440966999998,5.948822183300000,3792.000000000000000,61456.852996826171875,16.206976001272725,14.371322631835938,11.008699440950155,1.004791259765625,74.108917236328125
"39","38",11:10:30.000,49.502429550000002,5.948815216700000,3823.000000000000000,62272.096069335937500,16.288803575552169,14.382720947265623,11.085182651965335,1.004791259765625,74.108917236328125
"40","39",11:10:31.000,49.502417467000001,5.948807333300000,3869.000000000000000,63619.208160400390625,16.443320796174824,14.425750732421877,11.164072006854569,1.004791259765625,74.108917236328125
"41","40",11:10:32.000,49.502406532999998,5.948796050000000,3921.000000000000000,64954.188629150390625,16.565720129852178,14.466491699218750,11.181544342379341,1.004791259765625,74.108917236328125
"42","41",11:10:33.000,49.502401767000002,5.948785500000000,3968.000000000000000,65879.640716552734375,16.602732035421557,14.484329223632812,11.177698564576222,1.004791259765625,74.108917236328125
"43","42",11:10:34.000,49.502400016999999,5.948780366700000,3979.000000000000000,66198.315917968750000,16.636922824319868,14.493896484375000,11.178824580591929,1.004791259765625,74.108917236328125
"44","43",11:10:35.000,49.502402767000000,5.948779966700000,3967.000000000000000,65865.033447265625000,16.603235050987049,14.484283447265623,11.179062405645420,1.004791259765625,74.108917236328125
"45","44",11:10:36.000,49.502406432999997,5.948784250000000,3942.000000000000000,65293.978698730468750,16.563667858632794,14.470825195312500,11.173037417424778,1.004791259765625,74.108917236328125
"46","45",11:10:37.000,49.502408516999999,5.948788966700000,3926.000000000000000,64985.773437500000000,16.552667712047885,14.467422485351562,11.173215585960554,1.004791259765625,74.108917236328125
"47","46",11:10:38.000,49.502409149999998,5.948803083300000,3911.000000000000000,64563.810607910156250,16.508261469677873,14.451202392578123,11.165826707421342,1.004791259765625,74.108917236328125
"48","47",11:10:39.000,49.502407699999999,5.948820233300000,3896.000000000000000,64300.818817138671875,16.504316944850789,14.445281982421877,11.170648671684422,1.004791259765625,74.108917236328125
"49","48",11:10:40.000,49.502402216999997,5.948835966700000,3911.000000000000000,64563.810607910156250,16.508261469677873,14.451202392578123,11.165826707421342,1.004791259765625,74.108917236328125
"50","49",11:10:41.000,49.502396200000000,5.948846533300000,3927.000000000000000,65009.921173095703125,16.554601775680087,14.468353271484377,11.172450124015418,1.004791259765625,74.108917236328125
"51","50",11:10:42.000,49.502388033000003,5.948850916700000,3968.000000000000000,65879.640716552734375,16.602732035421557,14.484329223632812,11.177698564576222,1.004791259765625,74.108917236328125
"52","51",11:10:43.000,49.502379699999999,5.948854550000000,3996.000000000000000,66620.106536865234375,16.671698332548857,14.517059326171877,11.169178287630903,1.004791259765625,74.108917236328125
"53","52",11:10:44.000,49.502372782999998,5.948860166700000,4013.000000000000000,67184.593444824218750,16.741737713636734,14.526641845703123,11.172233530042863,1.004791259765625,74.108917236328125
"54","53",11:10:45.000,49.502360682999999,5.948871016700000,4047.000000000000000,68330.558532714843750,16.884249699212958,14.598175048828123,11.186779334291581,1.004791259765625,74.108917236328125
"55","54",11:10:46.000,49.502344983000000,5.948888116700000,4098.000000000000000,69747.773925781250000,17.019954593894887,14.810653686523438,11.188528569313748,1.004791259765625,74.108917236328125
"56","55",11:10:47.000,49.502334067000000,5.948897583300000,4121.000000000000000,70607.557098388671875,17.133597937002833,14.909545898437500,11.183744898460477,1.004791259765625,74.108917236328125
"57","56",11:10:48.000,49.502327266999998,5.948899300000000,4146.000000000000000,71363.905883789062500,17.212712465940438,14.938385009765623,11.192316320999947,1.004791259765625,74.108917236328125
"58","57",11:10:49.000,49.502320167000001,5.948895866700000,4177.000000000000000,72433.953521728515625,17.341142811043454,14.978668212890623,11.239880565100488,1.004791259765625,74.108917236328125
"59","58",11:10:50.000,49.502309983000004,5.948892800000000,4190.000000000000000,73403.858673095703125,17.518820685703030,15.019851684570312,11.337016304414909,1.004791259765625,74.108917236328125
