rid,llid,mode,fix,satused,pdop,hdop,vdops1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12
0,1,A,3,7,2.61,1.34,2.25,25,24,12,32,22,02,06,,,,,
1,2,A,3,8,2.35,1.25,2.00,25,19,24,12,32,22,02,06,,,,
2,3,A,3,8,2.35,1.25,2.00,25,19,24,12,32,22,02,06,,,,
3,4,A,3,7,2.46,1.35,2.05,25,19,24,12,32,22,06,,,,,
4,5,A,3,8,2.35,1.24,1.99,25,19,24,12,32,22,02,06,,,,
5,6,A,3,7,2.40,1.33,2.00,25,19,24,12,32,22,02,,,,,
6,7,A,3,8,2.35,1.24,1.99,25,19,24,12,32,22,02,06,,,,
7,8,A,3,8,2.35,1.24,1.99,25,19,24,12,32,22,02,06,,,,
8,9,A,3,8,2.34,1.24,1.99,25,19,24,12,32,22,02,06,,,,
9,10,A,3,8,2.34,1.24,1.99,25,19,24,12,32,22,02,06,,,,
10,11,A,3,8,2.34,1.24,1.99,25,19,24,12,32,22,02,06,,,,
11,12,A,3,8,2.34,1.24,1.98,25,19,24,12,32,22,02,06,,,,
12,13,A,3,7,2.72,1.69,2.12,25,19,12,32,22,02,06,,,,,
13,14,A,3,8,2.34,1.24,1.98,25,19,24,12,32,22,02,06,,,,
14,15,A,3,8,2.34,1.24,1.98,25,19,24,12,32,22,02,06,,,,
15,16,A,3,8,2.33,1.24,1.98,25,19,24,12,32,22,02,06,,,,
16,17,A,3,8,2.33,1.24,1.98,25,19,24,12,32,22,02,06,,,,
17,18,A,3,8,2.33,1.24,1.98,25,19,24,12,32,22,02,06,,,,
18,19,A,3,8,2.33,1.24,1.97,25,19,24,12,32,22,02,06,,,,
19,20,A,3,8,2.33,1.24,1.97,25,19,24,12,32,22,02,06,,,,
20,21,A,3,8,2.33,1.24,1.97,25,19,24,12,32,22,02,06,,,,
21,22,A,3,8,2.33,1.23,1.97,25,19,24,12,32,22,02,06,,,,
22,23,A,3,8,2.32,1.23,1.97,25,19,24,12,32,22,02,06,,,,
23,24,A,3,7,2.43,1.32,2.04,25,19,24,12,32,02,06,,,,,
24,25,A,3,7,2.51,1.24,2.18,19,24,12,32,22,02,06,,,,,
25,26,A,3,8,2.32,1.23,1.96,25,19,24,12,32,22,02,06,,,,
26,27,A,3,6,2.94,1.32,2.62,24,12,32,22,02,06,,,,,,
27,28,A,3,6,3.06,1.80,2.48,25,19,24,12,02,06,,,,,,
28,29,A,3,7,2.46,1.36,2.05,25,19,24,12,22,02,06,,,,,
29,30,A,3,8,2.46,1.36,2.05,25,19,24,12,32,22,02,06,,,,
30,31,A,3,8,2.31,1.23,1.96,25,19,24,12,32,22,02,06,,,,
31,32,A,3,8,2.31,1.23,1.96,25,19,24,12,32,22,02,06,,,,
32,33,A,3,8,2.36,1.32,1.96,25,19,24,12,32,22,02,06,,,,
33,34,A,3,8,2.31,1.23,1.95,25,19,24,12,32,22,02,06,,,,
34,35,A,3,8,2.31,1.23,1.95,25,19,24,12,32,22,02,06,,,,
35,36,A,3,8,2.36,1.32,1.95,25,19,24,12,32,22,02,06,,,,
36,37,A,3,8,2.60,1.31,2.25,25,19,24,12,32,22,02,06,,,,
37,38,A,3,8,2.35,1.32,1.95,25,19,24,12,32,22,02,06,,,,
38,39,A,3,8,2.30,1.23,1.95,25,19,24,12,32,22,02,06,,,,
39,40,A,3,8,2.30,1.22,1.94,25,19,24,12,32,22,02,06,,,,
40,41,A,3,8,2.60,1.31,2.25,25,19,24,12,32,22,02,06,,,,
41,42,A,3,8,2.60,1.31,2.25,25,19,24,12,32,22,02,06,,,,
42,43,A,3,8,2.29,1.22,1.94,25,19,24,12,32,22,02,06,,,,
43,44,A,3,8,2.29,1.22,1.94,25,19,24,12,32,22,02,06,,,,
44,45,A,3,8,2.29,1.22,1.94,25,19,24,12,32,22,02,06,,,,
45,46,A,3,8,2.29,1.22,1.93,25,19,24,12,32,22,02,06,,,,
