rid,llid,mode,fix,satused,pdop,hdop,vdop,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12
0,1,A,3,7,1.66,1.03,1.30,01,19,04,06,09,03,31,,,,,
1,2,A,3,7,1.66,1.03,1.30,01,19,04,06,09,03,31,,,,,
2,3,A,3,7,1.66,1.03,1.30,01,19,04,06,09,03,31,,,,,
3,4,A,3,7,1.66,1.03,1.29,01,19,04,06,09,03,31,,,,,
4,5,A,3,7,1.65,1.03,1.29,01,19,04,06,09,03,31,,,,,
5,6,A,3,7,1.65,1.03,1.29,01,19,04,06,09,03,31,,,,,
6,7,A,3,7,1.65,1.03,1.29,01,19,04,06,09,03,31,,,,,
7,8,A,3,7,1.65,1.03,1.29,01,19,04,06,09,03,31,,,,,
8,9,A,3,7,1.65,1.03,1.29,01,19,04,06,09,03,31,,,,,
9,10,A,3,7,1.65,1.03,1.29,01,19,04,06,09,03,31,,,,,
10,11,A,3,7,1.65,1.03,1.29,01,19,04,06,09,03,31,,,,,
11,12,A,3,7,1.65,1.03,1.29,01,19,04,06,09,03,31,,,,,
12,13,A,3,7,1.65,1.03,1.28,01,19,04,06,09,03,31,,,,,
13,14,A,3,7,1.65,1.03,1.28,01,19,04,06,09,03,31,,,,,
14,15,A,3,7,1.65,1.03,1.28,01,19,04,06,09,03,31,,,,,
15,16,A,3,7,1.65,1.03,1.28,01,19,04,06,09,03,31,,,,,
16,17,A,3,6,3.12,2.09,2.32,01,19,04,06,09,03,,,,,,
17,18,A,3,7,1.64,1.03,1.28,01,19,04,06,09,03,31,,,,,
18,19,A,3,7,1.64,1.03,1.28,01,19,04,06,09,03,31,,,,,
19,20,A,3,7,1.64,1.03,1.28,01,19,04,06,09,03,31,,,,,
20,21,A,3,7,1.64,1.03,1.28,01,19,04,06,09,03,31,,,,,
21,22,A,3,8,1.53,0.98,1.17,01,19,04,06,09,03,17,31,,,,
22,23,A,3,7,1.64,1.03,1.28,01,19,04,06,09,03,31,,,,,
23,24,A,3,8,1.52,0.98,1.16,01,19,04,06,09,03,17,31,,,,
24,25,A,3,7,1.64,1.03,1.27,01,19,04,06,09,03,31,,,,,
25,26,A,3,7,1.81,1.28,1.29,19,04,06,09,03,17,31,,,,,
26,27,A,3,8,1.52,0.98,1.16,01,19,04,06,09,03,17,31,,,,
27,28,A,3,8,1.52,0.98,1.16,01,19,04,06,09,03,17,31,,,,
28,29,A,3,8,1.52,0.98,1.16,01,19,04,06,09,03,17,31,,,,
29,30,A,3,8,1.52,0.98,1.16,01,19,04,06,09,03,17,31,,,,
30,31,A,3,8,1.52,0.98,1.16,01,19,04,06,09,03,17,31,,,,
31,32,A,3,8,1.52,0.98,1.16,01,19,04,06,09,03,17,31,,,,
32,33,A,3,6,2.26,1.49,1.70,19,04,06,09,03,31,,,,,,
33,34,A,3,7,1.63,1.03,1.26,01,19,04,06,09,03,31,,,,,
34,35,A,3,7,1.63,1.03,1.26,01,19,04,06,09,03,31,,,,,
35,36,A,3,7,1.80,1.28,1.28,19,04,06,09,03,17,31,,,,,
36,37,A,3,8,1.52,0.98,1.15,01,19,04,06,09,03,17,31,,,,
37,38,A,3,7,1.63,1.03,1.26,01,19,04,06,09,03,31,,,,,
38,39,A,3,7,1.63,1.03,1.26,01,19,04,06,09,03,31,,,,,
39,40,A,3,7,1.63,1.03,1.26,01,19,04,06,09,03,31,,,,,
40,41,A,3,7,1.63,1.03,1.26,01,19,04,06,09,03,31,,,,,
41,42,A,3,5,2.30,1.31,1.89,01,19,06,09,31,,,,,,,
42,43,A,3,7,1.63,1.03,1.26,01,19,04,06,09,03,31,,,,,
43,44,A,3,7,1.63,1.03,1.25,01,19,04,06,09,03,31,,,,,
44,45,A,3,7,1.62,1.03,1.25,01,19,04,06,09,03,31,,,,,
45,46,A,3,7,1.62,1.03,1.25,01,19,04,06,09,03,31,,,,,
46,47,A,3,7,1.62,1.03,1.25,01,19,04,06,09,03,31,,,,,
47,48,A,3,7,1.62,1.03,1.25,01,19,04,06,09,03,31,,,,,
48,49,A,3,8,1.51,0.99,1.14,01,19,04,06,09,03,17,31,,,,
49,50,A,3,8,1.51,0.99,1.14,01,19,04,06,09,03,17,31,,,,
50,51,A,3,8,1.51,0.99,1.14,01,19,04,06,09,03,17,31,,,,
51,52,A,3,8,1.51,0.99,1.14,01,19,04,06,09,03,17,31,,,,
52,53,A,3,8,1.51,0.99,1.14,01,19,04,06,09,03,17,31,,,,
53,54,A,3,8,1.51,0.99,1.14,01,19,04,06,09,03,17,31,,,,
54,55,A,3,8,1.51,0.99,1.14,01,19,04,06,09,03,17,31,,,,
55,56,A,3,8,1.50,0.99,1.14,01,19,04,06,09,03,17,31,,,,
56,57,A,3,8,1.50,0.99,1.14,01,19,04,06,09,03,17,31,,,,
57,58,A,3,7,1.61,1.03,1.24,01,19,04,06,09,03,31,,,,,
58,59,A,3,8,1.50,0.99,1.13,01,19,04,06,09,03,17,31,,,,
59,60,A,3,8,1.50,0.99,1.13,01,19,04,06,09,03,17,31,,,,
60,61,A,3,8,1.50,0.99,1.13,01,19,04,06,09,03,17,31,,,,
61,62,A,3,7,1.78,1.27,1.25,19,04,06,09,03,17,31,,,,,
62,63,A,3,8,1.50,0.99,1.13,01,19,04,06,09,03,17,31,,,,
63,64,A,3,7,1.78,1.27,1.24,19,04,06,09,03,17,31,,,,,
64,65,A,3,8,1.50,0.99,1.13,01,19,04,06,09,03,17,31,,,,
65,66,A,3,7,1.66,1.00,1.33,01,19,06,09,03,17,31,,,,,
66,67,A,3,8,1.50,0.99,1.13,01,19,04,06,09,03,17,31,,,,
67,68,A,3,7,1.77,1.27,1.24,19,04,06,09,03,17,31,,,,,
68,69,A,3,8,1.50,0.99,1.13,01,19,04,06,09,03,17,31,,,,
69,70,A,3,8,1.50,0.99,1.13,01,19,04,06,09,03,17,31,,,,
70,71,A,3,8,1.50,0.99,1.12,01,19,04,06,09,03,17,31,,,,
71,72,A,3,8,1.49,0.99,1.12,01,19,04,06,09,03,17,31,,,,
72,73,A,3,8,1.49,0.99,1.12,01,19,04,06,09,03,17,31,,,,
73,74,A,3,8,1.49,0.99,1.12,01,19,04,06,09,03,17,31,,,,
74,75,A,3,8,1.49,0.99,1.12,01,19,04,06,09,03,17,31,,,,
75,76,A,3,8,1.49,0.99,1.12,01,19,04,06,09,03,17,31,,,,
76,77,A,3,8,1.49,0.99,1.12,01,19,04,06,09,03,17,31,,,,
77,78,A,3,8,1.49,0.99,1.12,01,19,04,06,09,03,17,31,,,,
78,79,A,3,7,1.58,1.08,1.15,01,19,04,09,03,17,31,,,,,
79,80,A,3,6,2.13,1.62,1.38,19,04,09,03,17,31,,,,,,
80,81,A,3,8,1.49,0.99,1.12,01,19,04,06,09,03,17,31,,,,
81,82,A,3,8,1.49,0.99,1.12,01,19,04,06,09,03,17,31,,,,
82,83,A,3,8,1.49,0.99,1.12,01,19,04,06,09,03,17,31,,,,
83,84,A,3,8,1.49,0.99,1.11,01,19,04,06,09,03,17,31,,,,
84,85,A,3,8,1.49,0.99,1.11,01,19,04,06,09,03,17,31,,,,
85,86,A,3,8,1.49,0.99,1.11,01,19,04,06,09,03,17,31,,,,
86,87,A,3,8,1.49,0.99,1.11,01,19,04,06,09,03,17,31,,,,
87,88,A,3,7,1.59,1.03,1.21,01,19,04,06,09,03,31,,,,,
88,89,A,3,8,1.75,1.26,1.22,01,19,04,06,09,03,17,31,,,,
89,90,A,3,8,1.48,0.99,1.11,01,19,04,06,09,03,17,31,,,,
90,91,A,3,8,1.48,0.99,1.11,01,19,04,06,09,03,17,31,,,,
91,92,A,3,8,1.48,0.99,1.11,01,19,04,06,09,03,17,31,,,,
92,93,A,3,8,1.48,0.99,1.11,01,19,04,06,09,03,17,31,,,,
93,94,A,3,8,1.48,0.99,1.11,01,19,04,06,09,03,17,31,,,,
94,95,A,3,7,1.75,1.26,1.21,19,04,06,09,03,17,31,,,,,
95,96,A,3,7,1.75,1.26,1.21,19,04,06,09,03,17,31,,,,,
96,97,A,3,7,1.75,1.26,1.21,19,04,06,09,03,17,31,,,,,
97,98,A,3,7,1.75,1.26,1.21,19,04,06,09,03,17,31,,,,,
98,99,A,3,7,1.74,1.26,1.21,19,04,06,09,03,17,31,,,,,
99,100,A,3,7,1.74,1.26,1.21,19,04,06,09,03,17,31,,,,,
100,101,A,3,7,1.74,1.26,1.21,19,04,06,09,03,17,31,,,,,
101,102,A,3,7,1.74,1.26,1.20,19,04,06,09,03,17,31,,,,,
102,103,A,3,7,1.74,1.26,1.20,19,04,06,09,03,17,31,,,,,
103,104,A,3,7,1.74,1.26,1.20,19,04,06,09,03,17,31,,,,,
104,105,A,3,7,1.74,1.26,1.20,19,04,06,09,03,17,31,,,,,
105,106,A,3,7,1.74,1.26,1.20,19,04,06,09,03,17,31,,,,,
106,107,A,3,7,1.80,1.30,1.24,19,04,06,09,03,17,31,,,,,
107,108,A,3,7,1.74,1.26,1.20,19,04,06,09,03,17,31,,,,,
108,109,A,3,7,1.74,1.26,1.20,19,04,06,09,03,17,31,,,,,
109,110,A,3,7,1.74,1.26,1.20,19,04,06,09,03,17,31,,,,,
110,111,A,3,7,1.73,1.26,1.19,19,04,06,09,03,17,31,,,,,
111,112,A,3,7,1.73,1.26,1.19,19,04,06,09,03,17,31,,,,,
112,113,A,3,7,1.73,1.26,1.19,19,04,06,09,03,17,31,,,,,
113,114,A,3,7,1.73,1.26,1.19,19,04,06,09,03,17,31,,,,,
114,115,A,3,7,1.73,1.26,1.19,19,04,06,09,03,17,31,,,,,
115,116,A,3,7,1.73,1.26,1.19,19,04,06,09,03,17,31,,,,,
116,117,A,3,7,1.73,1.26,1.19,19,04,06,09,03,17,31,,,,,
117,118,A,3,7,1.73,1.26,1.19,19,04,06,09,03,17,31,,,,,
118,119,A,3,7,1.73,1.25,1.19,19,04,06,09,03,17,31,,,,,
119,120,A,3,7,1.73,1.25,1.19,19,04,06,09,03,17,31,,,,,
120,121,A,3,7,1.73,1.25,1.19,19,04,06,09,03,17,31,,,,,
121,122,A,3,7,1.72,1.25,1.18,19,04,06,09,03,17,31,,,,,
122,123,A,3,7,1.72,1.25,1.18,19,04,06,09,03,17,31,,,,,
123,124,A,3,7,1.72,1.25,1.18,19,04,06,09,03,17,31,,,,,
124,125,A,3,7,1.72,1.25,1.18,19,04,06,09,03,17,31,,,,,
125,126,A,3,7,1.72,1.25,1.18,19,04,06,09,03,17,31,,,,,
126,127,A,3,7,1.72,1.25,1.18,19,04,06,09,03,17,31,,,,,
127,128,A,3,7,1.72,1.25,1.18,19,04,06,09,03,17,31,,,,,
128,129,A,3,7,1.72,1.25,1.18,19,04,06,09,03,17,31,,,,,
129,130,A,3,7,1.72,1.25,1.18,19,04,06,09,03,17,31,,,,,
130,131,A,3,7,1.72,1.25,1.18,19,04,06,09,03,17,31,,,,,
131,132,A,3,7,1.72,1.25,1.17,19,04,06,09,03,17,31,,,,,
132,133,A,3,7,1.72,1.25,1.17,19,04,06,09,03,17,31,,,,,
133,134,A,3,7,1.71,1.25,1.17,19,04,06,09,03,17,31,,,,,
134,135,A,3,7,1.71,1.25,1.17,19,04,06,09,03,17,31,,,,,
135,136,A,3,7,1.71,1.25,1.17,19,04,06,09,03,17,31,,,,,
136,137,A,3,7,1.71,1.25,1.17,19,04,06,09,03,17,31,,,,,
137,138,A,3,7,1.71,1.25,1.17,19,04,06,09,03,17,31,,,,,
138,139,A,3,7,1.71,1.25,1.17,19,04,06,09,03,17,31,,,,,
139,140,A,3,7,1.71,1.25,1.17,19,04,06,09,03,17,31,,,,,
140,141,A,3,7,1.71,1.25,1.17,19,04,06,09,03,17,31,,,,,
141,142,A,3,7,1.71,1.25,1.17,19,04,06,09,03,17,31,,,,,
142,143,A,3,7,1.71,1.25,1.16,19,04,06,09,03,17,31,,,,,
143,144,A,3,7,1.71,1.25,1.16,19,04,06,09,03,17,31,,,,,
144,145,A,3,6,2.21,1.88,1.16,19,04,06,09,17,31,,,,,,
145,146,A,3,6,2.06,1.42,1.49,19,04,06,09,03,31,,,,,,
146,147,A,3,6,2.06,1.42,1.49,19,04,06,09,03,31,,,,,,
147,148,A,3,6,2.06,1.42,1.49,19,04,06,09,03,31,,,,,,
148,149,A,3,6,2.06,1.42,1.48,19,04,06,09,03,31,,,,,,
149,150,A,3,6,2.05,1.42,1.48,19,04,06,09,03,31,,,,,,
150,151,A,3,6,2.05,1.42,1.48,19,04,06,09,03,31,,,,,,
151,152,A,3,6,2.05,1.42,1.48,19,04,06,09,03,31,,,,,,
152,153,A,3,5,3.81,2.80,2.59,19,04,06,09,03,,,,,,,
153,154,A,3,5,3.82,2.81,2.59,19,04,06,09,03,,,,,,,
154,155,A,3,6,2.05,1.42,1.48,19,04,06,09,03,31,,,,,,
155,156,A,3,6,2.04,1.42,1.47,19,04,06,09,03,31,,,,,,
156,157,A,3,6,2.04,1.42,1.47,19,04,06,09,03,31,,,,,,
157,158,A,3,6,2.04,1.42,1.47,19,04,06,09,03,31,,,,,,
158,159,A,3,6,2.04,1.42,1.47,19,04,06,09,03,31,,,,,,
159,160,A,3,6,2.04,1.42,1.47,19,04,06,09,03,31,,,,,,
160,161,A,3,6,2.04,1.41,1.47,19,04,06,09,03,31,,,,,,
161,162,A,3,6,2.04,1.41,1.46,19,04,06,09,03,31,,,,,,
162,163,A,3,6,2.03,1.41,1.46,19,04,06,09,03,31,,,,,,
163,164,A,3,7,1.88,1.19,1.46,19,04,06,09,11,03,31,,,,,
164,165,A,3,7,1.88,1.19,1.46,19,04,06,09,11,03,31,,,,,
165,166,A,3,7,1.88,1.19,1.46,19,04,06,09,11,03,31,,,,,
166,167,A,3,6,2.11,1.21,1.72,19,06,09,11,03,31,,,,,,
167,168,A,3,6,2.10,1.21,1.72,19,06,09,11,03,31,,,,,,
168,169,A,3,7,1.88,1.19,1.45,19,04,06,09,11,03,31,,,,,
169,170,A,3,7,1.87,1.18,1.45,19,04,06,09,11,03,31,,,,,
170,171,A,3,6,2.10,1.21,1.71,19,06,09,11,03,31,,,,,,
171,172,A,3,6,2.10,1.21,1.71,19,06,09,11,03,31,,,,,,
172,173,A,3,6,2.09,1.21,1.71,19,06,09,11,03,31,,,,,,
173,174,A,3,7,1.87,1.18,1.45,19,04,06,09,11,03,31,,,,,
174,175,A,3,7,1.87,1.18,1.44,19,04,06,09,11,03,31,,,,,
175,176,A,3,7,1.86,1.18,1.44,19,04,06,09,11,03,31,,,,,
176,177,A,3,7,1.86,1.18,1.44,19,04,06,09,11,03,31,,,,,
177,178,A,3,6,2.01,1.41,1.44,19,04,06,09,03,31,,,,,,
178,179,A,3,7,1.86,1.18,1.44,19,04,06,09,11,03,31,,,,,
179,180,A,3,7,1.86,1.18,1.44,19,04,06,09,11,03,31,,,,,
180,181,A,3,7,1.86,1.18,1.44,19,04,06,09,11,03,31,,,,,
181,182,A,3,7,1.86,1.18,1.43,19,04,06,09,11,03,31,,,,,
182,183,A,3,6,2.00,1.40,1.43,19,04,06,09,03,31,,,,,,
183,184,A,3,6,2.00,1.40,1.43,19,04,06,09,03,31,,,,,,
184,185,A,3,7,1.85,1.18,1.43,19,04,06,09,11,03,31,,,,,
185,186,A,3,7,1.85,1.18,1.43,19,04,06,09,11,03,31,,,,,
186,187,A,3,7,1.85,1.18,1.43,19,04,06,09,11,03,31,,,,,
187,188,A,3,7,1.85,1.17,1.42,19,04,06,09,11,03,31,,,,,
188,189,A,3,7,1.85,1.17,1.42,19,04,06,09,11,03,31,,,,,
189,190,A,3,7,1.84,1.17,1.42,19,04,06,09,11,03,31,,,,,
190,191,A,3,7,1.84,1.17,1.42,19,04,06,09,11,03,31,,,,,
191,192,A,3,7,1.84,1.17,1.42,19,04,06,09,11,03,31,,,,,
192,193,A,3,7,1.84,1.17,1.42,19,04,06,09,11,03,31,,,,,
193,194,A,3,7,1.84,1.17,1.42,19,04,06,09,11,03,31,,,,,
194,195,A,3,7,1.84,1.17,1.41,19,04,06,09,11,03,31,,,,,
195,196,A,3,6,2.05,1.20,1.66,19,06,09,11,03,31,,,,,,
196,197,A,3,7,1.83,1.17,1.41,19,04,06,09,11,03,31,,,,,
197,198,A,3,7,1.83,1.17,1.41,19,04,06,09,11,03,31,,,,,
198,199,A,3,6,2.31,1.47,1.79,19,04,06,09,11,03,,,,,,
199,200,A,3,6,2.31,1.47,1.79,19,04,06,09,11,03,,,,,,
200,201,A,3,6,2.31,1.47,1.79,19,04,06,09,11,03,,,,,,
201,202,A,3,6,2.31,1.47,1.79,19,04,06,09,11,03,,,,,,
202,203,A,3,7,1.83,1.17,1.40,19,04,06,09,11,03,31,,,,,
203,204,A,3,7,1.82,1.17,1.40,19,04,06,09,11,03,31,,,,,
204,205,A,3,6,2.31,1.47,1.78,19,04,06,09,11,03,,,,,,
205,206,A,3,6,2.31,1.47,1.78,19,04,06,09,11,03,,,,,,
206,207,A,3,6,2.31,1.47,1.78,19,04,06,09,11,03,,,,,,
207,208,A,3,7,1.84,1.26,1.34,19,26,04,06,09,11,03,,,,,
208,209,A,3,7,1.84,1.26,1.34,19,26,04,06,09,11,03,,,,,
209,210,A,3,7,1.84,1.26,1.34,19,26,04,06,09,11,03,,,,,
210,211,A,3,8,1.70,1.12,1.28,19,26,04,06,09,11,03,31,,,,
211,212,A,3,8,1.70,1.12,1.28,19,26,04,06,09,11,03,31,,,,
212,213,A,3,8,1.70,1.11,1.28,19,26,04,06,09,11,03,31,,,,
213,214,A,3,8,1.70,1.11,1.28,19,26,04,06,09,11,03,31,,,,
214,215,A,3,9,1.41,0.86,1.12,07,19,26,04,06,09,11,03,31,,,
215,216,A,3,9,1.41,0.86,1.12,07,19,26,04,06,09,11,03,31,,,
216,217,A,3,8,1.56,0.96,1.23,07,19,26,04,06,09,11,03,,,,
217,218,A,3,8,1.56,0.96,1.23,07,19,26,04,06,09,11,03,,,,
218,219,A,3,8,1.49,0.91,1.18,07,19,04,06,09,11,03,31,,,,
219,220,A,3,9,1.54,0.86,1.27,07,19,26,04,06,09,11,03,31,,,
220,221,A,3,9,1.41,0.86,1.12,07,19,26,04,06,09,11,03,31,,,
221,222,A,3,9,1.41,0.86,1.12,07,19,26,04,06,09,11,03,31,,,
222,223,A,3,9,1.41,0.86,1.12,07,19,26,04,06,09,11,03,31,,,
223,224,A,3,9,1.41,0.86,1.12,07,19,26,04,06,09,11,03,31,,,
224,225,A,3,9,1.41,0.86,1.12,07,19,26,04,06,09,11,03,31,,,
225,226,A,3,9,1.41,0.86,1.12,07,19,26,04,06,09,11,03,31,,,
226,227,A,3,8,1.49,0.91,1.17,07,19,04,06,09,11,03,31,,,,
227,228,A,3,9,1.41,0.86,1.12,07,19,26,04,06,09,11,03,31,,,
228,229,A,3,9,1.41,0.86,1.12,07,19,26,04,06,09,11,03,31,,,
229,230,A,3,7,1.83,1.26,1.33,19,26,04,06,09,11,03,,,,,
230,231,A,3,8,1.56,0.96,1.23,07,19,26,04,06,09,11,03,,,,
231,232,A,3,8,1.56,0.96,1.23,07,19,26,04,06,09,11,03,,,,
232,233,A,3,8,1.56,0.96,1.23,07,19,26,04,06,09,11,03,,,,
233,234,A,3,8,1.56,0.96,1.23,07,19,26,04,06,09,11,03,,,,
234,235,A,3,8,1.56,0.96,1.23,07,19,26,04,06,09,11,03,,,,
235,236,A,3,8,1.56,0.96,1.23,07,19,26,04,06,09,11,03,,,,
236,237,A,3,8,1.56,0.96,1.23,07,19,26,04,06,09,11,03,,,,
237,238,A,3,8,1.56,0.96,1.23,07,19,26,04,06,09,11,03,,,,
238,239,A,3,9,1.41,0.86,1.11,07,19,26,04,06,09,11,03,31,,,
239,240,A,3,8,1.57,0.96,1.24,07,19,26,04,06,09,11,03,,,,
240,241,A,3,9,1.41,0.86,1.11,07,19,26,04,06,09,11,03,31,,,
241,242,A,3,7,1.77,1.15,1.35,19,04,06,09,11,03,31,,,,,
242,243,A,3,8,1.67,1.10,1.26,19,26,04,06,09,11,03,31,,,,
243,244,A,3,9,1.41,0.86,1.11,07,19,26,04,06,09,11,03,31,,,
244,245,A,3,9,1.41,0.86,1.11,07,19,26,04,06,09,11,03,31,,,
245,246,A,3,9,1.41,0.86,1.11,07,19,26,04,06,09,11,03,31,,,
246,247,A,3,9,1.41,0.86,1.11,07,19,26,04,06,09,11,03,31,,,
247,248,A,3,9,1.41,0.86,1.11,07,19,26,04,06,09,11,03,31,,,
248,249,A,3,9,1.41,0.86,1.11,07,19,26,04,06,09,11,03,31,,,
249,250,A,3,9,1.41,0.86,1.11,07,19,26,04,06,09,11,03,31,,,
250,251,A,3,8,1.57,0.96,1.24,07,19,26,04,06,09,11,03,,,,
251,252,A,3,9,1.41,0.86,1.11,07,19,26,04,06,09,11,03,31,,,
252,253,A,3,9,1.41,0.86,1.11,07,19,26,04,06,09,11,03,31,,,
253,254,A,3,9,1.41,0.86,1.11,07,19,26,04,06,09,11,03,31,,,
254,255,A,3,9,1.41,0.86,1.11,07,19,26,04,06,09,11,03,31,,,
255,256,A,3,9,1.41,0.86,1.11,07,19,26,04,06,09,11,03,31,,,
256,257,A,3,9,1.41,0.86,1.11,07,19,26,04,06,09,11,03,31,,,
257,258,A,3,9,1.41,0.86,1.11,07,19,26,04,06,09,11,03,31,,,
258,259,A,3,8,1.66,1.10,1.25,19,26,04,06,09,11,03,31,,,,
259,260,A,3,7,1.82,1.25,1.32,19,26,04,06,09,11,03,,,,,
260,261,A,3,9,1.60,0.88,1.33,07,19,26,04,06,09,11,03,31,,,
261,262,A,3,9,1.40,0.86,1.11,07,19,26,04,06,09,11,03,31,,,
262,263,A,3,8,1.48,0.89,1.18,07,19,26,04,09,11,03,31,,,,
263,264,A,3,9,1.40,0.86,1.11,07,19,26,04,06,09,11,03,31,,,
264,265,A,3,9,1.40,0.86,1.11,07,19,26,04,06,09,11,03,31,,,
265,266,A,3,9,1.40,0.86,1.11,07,19,26,04,06,09,11,03,31,,,
266,267,A,3,8,1.66,1.10,1.24,19,26,04,06,09,11,03,31,,,,
267,268,A,3,7,1.81,1.32,1.24,19,26,04,06,09,03,31,,,,,
268,269,A,3,8,1.48,0.89,1.18,07,19,26,04,09,11,03,31,,,,
269,270,A,3,9,1.40,0.86,1.11,07,19,26,04,06,09,11,03,31,,,
270,271,A,3,9,1.40,0.86,1.11,07,19,26,04,06,09,11,03,31,,,
271,272,A,3,9,1.40,0.86,1.11,07,19,26,04,06,09,11,03,31,,,
272,273,A,3,9,1.40,0.86,1.11,07,19,26,04,06,09,11,03,31,,,
273,274,A,3,9,1.40,0.86,1.11,07,19,26,04,06,09,11,03,31,,,
274,275,A,3,9,1.40,0.86,1.11,07,19,26,04,06,09,11,03,31,,,
