rid,llid,time,satnum,elev,azim,SNR
0,0,,70,28,050,
1,0,,86,57,188,
2,0,,73,00,000,
3,0,,79,10,008,
4,0,,88,03,331,
5,0,,87,47,316,
6,0,,71,76,001,
7,0,,72,42,247,
8,0,:: Z,70,28,050,
9,0,:: Z,86,57,188,
10,0,:: Z,73,00,000,
11,0,:: Z,79,10,008,
12,0,:: Z,88,03,331,
13,0,:: Z,87,47,316,
14,0,:: Z,71,76,001,
15,0,:: Z,72,42,247,
16,0,:: Z,70,28,050,
17,0,:: Z,86,57,188,
18,0,:: Z,73,00,000,
19,0,:: Z,79,10,008,
20,0,:: Z,88,03,331,
21,0,:: Z,87,47,316,
22,0,:: Z,71,76,001,
23,0,:: Z,72,42,247,
24,0,:: Z,70,28,050,
25,0,:: Z,86,57,188,
26,0,:: Z,73,00,000,
27,0,:: Z,79,10,008,
28,0,:: Z,88,03,331,
29,0,:: Z,87,47,316,
30,0,:: Z,71,76,001,
31,0,:: Z,72,42,247,
32,0,:: Z,70,28,050,
33,0,:: Z,86,57,188,
34,0,:: Z,73,00,000,
35,0,:: Z,79,10,008,
36,0,:: Z,88,03,331,
37,0,:: Z,87,47,316,
38,0,:: Z,71,76,001,
39,0,:: Z,72,42,247,
40,0,:: Z,70,28,050,
41,0,:: Z,86,57,188,
42,0,:: Z,73,00,000,
43,0,:: Z,79,10,008,
44,0,:: Z,88,03,331,
45,0,:: Z,87,47,316,
46,0,:: Z,71,76,001,
47,0,:: Z,72,42,247,
48,0,:: Z,70,28,050,
49,0,:: Z,86,57,188,
50,0,:: Z,73,00,000,
51,0,:: Z,79,10,008,
52,0,:: Z,88,03,331,
53,0,:: Z,87,47,316,
54,0,:: Z,71,76,001,
55,0,:: Z,72,42,247,
56,0,:: Z,70,28,050,
57,0,:: Z,86,57,188,
58,0,:: Z,73,00,000,
59,0,:: Z,79,10,008,
60,0,:: Z,88,03,331,
61,0,:: Z,87,47,316,
62,0,:: Z,71,76,001,
63,0,:: Z,72,42,247,
64,0,:: Z,70,28,050,
65,0,:: Z,86,57,188,
66,0,:: Z,73,00,000,
67,0,:: Z,79,10,008,
68,0,:: Z,88,03,331,
69,0,:: Z,87,47,316,
70,0,:: Z,71,76,001,
71,0,:: Z,72,42,247,
72,0,:: Z,70,28,050,
73,0,:: Z,86,57,188,
74,0,:: Z,73,00,000,
75,0,:: Z,79,10,008,
76,0,:: Z,88,03,331,
77,0,:: Z,87,47,316,
78,0,:: Z,71,76,001,
