llid,date,time,lat,lng
0,2022-10-27,11:09:51 Z,49.502573166666664,5.948926883333334
1,2022-10-27,11:09:53 Z,49.50266141666667,5.948894066666667
2,2022-10-27,11:09:54 Z,49.50265073333333,5.948899016666667
3,2022-10-27,11:09:55 Z,49.50264273333333,5.9489075499999995
4,2022-10-27,11:09:56 Z,49.50263291666667,5.9489111333333335
5,2022-10-27,11:09:57 Z,49.5026185,5.948909633333333
6,2022-10-27,11:09:58 Z,49.502610266666665,5.948901433333333
7,2022-10-27,11:09:59 Z,49.50261116666667,5.948898266666666
8,2022-10-27,11:10:00 Z,49.502606283333336,5.94889405
9,2022-10-27,11:10:01 Z,49.50261281666667,5.948893366666667
10,2022-10-27,11:10:02 Z,49.502606283333336,5.948899766666667
11,2022-10-27,11:10:03 Z,49.50262133333333,5.948923233333334
12,2022-10-27,11:10:04 Z,49.502625333333334,5.9489242
13,2022-10-27,11:10:05 Z,49.50262576666667,5.94891925
14,2022-10-27,11:10:06 Z,49.50263253333333,5.9489085500000005
15,2022-10-27,11:10:07 Z,49.50264453333333,5.9489186499999995
16,2022-10-27,11:10:08 Z,49.50264848333333,5.948920883333333
17,2022-10-27,11:10:09 Z,49.50263416666667,5.948926133333334
18,2022-10-27,11:10:10 Z,49.502623283333335,5.9489283
19,2022-10-27,11:10:11 Z,49.502614566666665,5.948923033333333
20,2022-10-27,11:10:12 Z,49.50260456666667,5.948920566666667
21,2022-10-27,11:10:13 Z,49.50259583333333,5.94891305
22,2022-10-27,11:10:14 Z,49.50257873333334,5.94892425
23,2022-10-27,11:10:15 Z,49.502563566666666,5.948910883333333
24,2022-10-27,11:10:16 Z,49.50255918333333,5.9489115833333335
25,2022-10-27,11:10:17 Z,49.502559233333336,5.9489000999999995
26,2022-10-27,11:10:18 Z,49.50254953333334,5.948893733333334
27,2022-10-27,11:10:19 Z,49.50254465,5.94888725
28,2022-10-27,11:10:20 Z,49.50253803333333,5.948879983333334
29,2022-10-27,11:10:21 Z,49.50252868333333,5.948869216666667
30,2022-10-27,11:10:22 Z,49.502516916666664,5.9488586833333335
31,2022-10-27,11:10:23 Z,49.502505416666665,5.9488533
32,2022-10-27,11:10:24 Z,49.50249718333333,5.948851783333334
33,2022-10-27,11:10:25 Z,49.5024899,5.9488506
34,2022-10-27,11:10:26 Z,49.502479783333335,5.948847533333334
35,2022-10-27,11:10:27 Z,49.50246668333333,5.948839783333334
36,2022-10-27,11:10:28 Z,49.5024546,5.9488319
37,2022-10-27,11:10:29 Z,49.50244096666667,5.948822183333333
38,2022-10-27,11:10:30 Z,49.50242955,5.948815216666667
39,2022-10-27,11:10:31 Z,49.502417466666664,5.948807333333333
40,2022-10-27,11:10:32 Z,49.502406533333335,5.94879605
41,2022-10-27,11:10:33 Z,49.502401766666665,5.9487855
42,2022-10-27,11:10:34 Z,49.50240001666667,5.948780366666667
43,2022-10-27,11:10:35 Z,49.50240276666667,5.948779966666667
44,2022-10-27,11:10:36 Z,49.502406433333334,5.94878425
45,2022-10-27,11:10:37 Z,49.50240851666667,5.948788966666667
46,2022-10-27,11:10:38 Z,49.50240915,5.948803083333333
47,2022-10-27,11:10:39 Z,49.5024077,5.9488202333333335
48,2022-10-27,11:10:40 Z,49.50240221666667,5.948835966666667
49,2022-10-27,11:10:41 Z,49.5023962,5.948846533333334
50,2022-10-27,11:10:42 Z,49.50238803333333,5.948850916666666
51,2022-10-27,11:10:43 Z,49.5023797,5.94885455
52,2022-10-27,11:10:44 Z,49.502372783333335,5.948860166666667
53,2022-10-27,11:10:45 Z,49.502360683333336,5.948871016666667
54,2022-10-27,11:10:46 Z,49.50234498333333,5.948888116666667
55,2022-10-27,11:10:47 Z,49.50233406666667,5.948897583333333
56,2022-10-27,11:10:48 Z,49.50232726666667,5.9488993
57,2022-10-27,11:10:49 Z,49.502320166666664,5.948895866666667
58,2022-10-27,11:10:50 Z,49.50230998333333,5.9488928
59,2022-10-27,11:10:51 Z,49.50230226666667,5.948887833333333
60,2022-10-27,11:10:52 Z,49.5022969,5.94888425
61,2022-10-27,11:10:53 Z,49.50228868333333,5.948884283333333
62,2022-10-27,11:10:54 Z,49.502277783333334,5.948877366666666
63,2022-10-27,11:10:55 Z,49.50226661666667,5.948870366666666
64,2022-10-27,11:10:56 Z,49.50225726666667,5.948866933333333
65,2022-10-27,11:10:57 Z,49.502249516666666,5.9488678
66,2022-10-27,11:10:58 Z,49.50223956666667,5.948869666666667
67,2022-10-27,11:10:59 Z,49.50222756666667,5.94886895
68,2022-10-27,11:11:00 Z,49.50221761666667,5.948863716666667
69,2022-10-27,11:11:01 Z,49.502212633333336,5.948859433333333
