llid,date,time,lat,lng
0,2022-10-27,11:17:05 Z,49.50113366666667,5.9444495
1,2022-10-27,11:17:10 Z,49.500991,5.944450166666667
2,2022-10-27,11:17:15 Z,49.50099183333333,5.944439
3,2022-10-27,11:17:20 Z,49.501067666666664,5.9444436666666665
4,2022-10-27,11:17:25 Z,49.50115316666667,5.944455666666666
5,2022-10-27,11:17:30 Z,49.501182166666666,5.944482166666667
6,2022-10-27,11:17:35 Z,49.5012745,5.944472666666667
7,2022-10-27,11:17:40 Z,49.501422,5.944451666666667
8,2022-10-27,11:17:45 Z,49.501496,5.944442666666666
9,2022-10-27,11:17:50 Z,49.50155016666667,5.9444365
10,2022-10-27,11:17:55 Z,49.501562166666666,5.944431666666667
11,2022-10-27,11:18:00 Z,49.50154333333333,5.944431833333333
12,2022-10-27,11:18:05 Z,49.501516,5.944440833333333
13,2022-10-27,11:18:10 Z,49.50149283333333,5.9444436666666665
14,2022-10-27,11:18:15 Z,49.50147316666666,5.944452
15,2022-10-27,11:18:20 Z,49.501486666666665,5.9444688333333335
16,2022-10-27,11:18:25 Z,49.501538833333335,5.944476166666667
17,2022-10-27,11:18:30 Z,49.501568166666665,5.9444851666666665
18,2022-10-27,11:18:35 Z,49.501584,5.944479833333333
19,2022-10-27,11:18:40 Z,49.501584666666666,5.9444485
20,2022-10-27,11:18:45 Z,49.50156033333333,5.94444
21,2022-10-27,11:18:50 Z,49.50140483333333,5.9444471666666665
22,2022-10-27,11:18:55 Z,49.501341,5.944374833333333
23,2022-10-27,11:19:00 Z,49.50138483333333,5.944240333333333
24,2022-10-27,11:19:05 Z,49.501461,5.944066
25,2022-10-27,11:19:10 Z,49.501534666666664,5.943989333333334
26,2022-10-27,11:19:15 Z,49.5015765,5.9438695
27,2022-10-27,11:19:20 Z,49.50158416666667,5.9438085
28,2022-10-27,11:19:25 Z,49.5016,5.943714333333333
29,2022-10-27,11:19:30 Z,49.5016105,5.943637333333333
30,2022-10-27,11:19:35 Z,49.5016135,5.943542
31,2022-10-27,11:19:40 Z,49.5016455,5.943444333333334
32,2022-10-27,11:19:45 Z,49.501627666666664,5.9433913333333335
33,2022-10-27,11:19:50 Z,49.501658,5.943295833333333
34,2022-10-27,11:19:55 Z,49.501650833333336,5.943210666666666
35,2022-10-27,11:20:00 Z,49.501714166666666,5.943069666666666
36,2022-10-27,11:20:05 Z,49.5017605,5.9429688333333335
37,2022-10-27,11:20:10 Z,49.50179883333333,5.942832
38,2022-10-27,11:20:15 Z,49.501829,5.942715166666667
39,2022-10-27,11:20:20 Z,49.501902666666666,5.942630833333333
40,2022-10-27,11:20:25 Z,49.5019415,5.942612333333333
41,2022-10-27,11:20:30 Z,49.50193766666667,5.942551
42,2022-10-27,11:20:35 Z,49.501905666666666,5.942521833333333
43,2022-10-27,11:20:40 Z,49.501904333333336,5.9424405
44,2022-10-27,11:20:45 Z,49.501891,5.942386833333334
45,2022-10-27,11:20:50 Z,49.501931166666665,5.942276333333333
46,2022-10-27,11:20:55 Z,49.501949,5.942159666666667
47,2022-10-27,11:21:00 Z,49.501901,5.942081833333333
48,2022-10-27,11:21:05 Z,49.50198183333333,5.941917
49,2022-10-27,11:21:10 Z,49.502045333333335,5.941797
50,2022-10-27,11:21:15 Z,49.50207866666667,5.9416945
51,2022-10-27,11:21:20 Z,49.50211983333333,5.9415415
52,2022-10-27,11:21:25 Z,49.502125666666664,5.941464333333333
53,2022-10-27,11:21:30 Z,49.50214483333333,5.94137
54,2022-10-27,11:21:35 Z,49.502167666666665,5.941323166666667
55,2022-10-27,11:21:40 Z,49.50219,5.941224166666666
56,2022-10-27,11:21:45 Z,49.502274666666665,5.9411000000000005
57,2022-10-27,11:21:50 Z,49.50232366666667,5.940973333333333
58,2022-10-27,11:21:55 Z,49.50234416666667,5.940888166666666
59,2022-10-27,11:22:00 Z,49.50236066666667,5.940777
60,2022-10-27,11:22:05 Z,49.502263666666664,5.9407105
61,2022-10-27,11:22:10 Z,49.50217466666667,5.9406696666666665
62,2022-10-27,11:22:15 Z,49.502106,5.9406411666666665
63,2022-10-27,11:22:20 Z,49.502003,5.940621166666666
64,2022-10-27,11:22:25 Z,49.50193016666667,5.940605333333333
65,2022-10-27,11:22:30 Z,49.501897666666665,5.94054
66,2022-10-27,11:22:35 Z,49.5018525,5.940531333333333
67,2022-10-27,11:22:40 Z,49.501838666666664,5.940514333333334
68,2022-10-27,11:22:45 Z,49.501824666666664,5.940499166666667
69,2022-10-27,11:22:50 Z,49.501832666666665,5.940419166666667
70,2022-10-27,11:22:55 Z,49.5018385,5.940331166666667
71,2022-10-27,11:23:00 Z,49.50188933333333,5.940181333333333
72,2022-10-27,11:23:05 Z,49.5019405,5.940060833333334
73,2022-10-27,11:23:10 Z,49.50201216666667,5.939926166666667
74,2022-10-27,11:23:15 Z,49.502048,5.939694333333334
75,2022-10-27,11:23:20 Z,49.502078166666664,5.939541666666667
76,2022-10-27,11:23:25 Z,49.502104333333335,5.939483
77,2022-10-27,11:23:30 Z,49.502102666666666,5.9394325
78,2022-10-27,11:23:35 Z,49.50214316666667,5.939354333333333
79,2022-10-27,11:23:40 Z,49.502174833333335,5.9392575
