rid,date,time,lat,lng
0,2022-08-30,13:29:49 Z,52.479644666666665,13.422474
1,2022-08-30,13:29:54 Z,52.47961566666667,13.42248
2,2022-08-30,13:29:59 Z,52.4796075,13.422484666666668
3,2022-08-30,13:30:04 Z,52.47960883333333,13.4224875
4,2022-08-30,13:30:09 Z,52.479595333333336,13.4224905
5,2022-08-30,13:30:14 Z,52.479568666666665,13.422493833333334
6,2022-08-30,13:30:19 Z,52.479556333333335,13.4224925
7,2022-08-30,13:30:24 Z,52.47954466666667,13.422488333333334
8,2022-08-30,13:30:29 Z,52.47955816666666,13.422482833333333
9,2022-08-30,13:30:34 Z,52.479595,13.422486666666666
10,2022-08-30,13:30:39 Z,52.47958533333333,13.422492
11,2022-08-30,13:30:44 Z,52.4795785,13.422486
12,2022-08-30,13:30:49 Z,52.479578,13.422481666666666
13,2022-08-30,13:30:54 Z,52.47956716666667,13.422480833333333
14,2022-08-30,13:30:59 Z,52.47957783333333,13.422480333333333
15,2022-08-30,13:31:04 Z,52.479582,13.422478333333334
16,2022-08-30,13:31:09 Z,52.479584833333334,13.422474666666666
17,2022-08-30,13:31:14 Z,52.4796075,13.422471333333334
18,2022-08-30,13:31:19 Z,52.47961566666667,13.422479
19,2022-08-30,13:31:24 Z,52.47963133333333,13.422479833333334
20,2022-08-30,13:31:24 Z,52.47963133333333,13.422479833333334
21,2022-08-30,13:31:29 Z,52.47963333333333,13.422485
22,2022-08-30,13:31:34 Z,52.47963266666667,13.422489166666667
23,2022-08-30,13:31:39 Z,52.479621,13.422487666666667
24,2022-08-30,13:31:44 Z,52.47961683333333,13.422483166666666
25,2022-08-30,13:31:49 Z,52.479633666666665,13.422489
26,2022-08-30,13:31:54 Z,52.479646333333335,13.422485666666667
27,2022-08-30,13:31:59 Z,52.479646,13.422483833333333
28,2022-08-30,13:32:04 Z,52.4796175,13.422489
29,2022-08-30,13:32:09 Z,52.4795785,13.422501833333333
30,2022-08-30,13:32:14 Z,52.479582,13.422504666666667
31,2022-08-30,13:32:19 Z,52.47958,13.422505166666667
32,2022-08-30,13:32:24 Z,52.479561,13.422504
33,2022-08-30,13:32:29 Z,52.479567,13.4224985
34,2022-08-30,13:32:34 Z,52.47958633333333,13.422493833333334
35,2022-08-30,13:32:39 Z,52.4796305,13.422483
36,2022-08-30,13:32:44 Z,52.47960533333333,13.422480833333333
37,2022-08-30,13:32:49 Z,52.47962233333333,13.422479166666667
38,2022-08-30,13:32:54 Z,52.47961166666666,13.422482333333333
39,2022-08-30,13:32:59 Z,52.479621,13.422480166666666
40,2022-08-30,13:33:04 Z,52.47960483333333,13.422477333333333
41,2022-08-30,13:33:09 Z,52.47958233333333,13.4224815
42,2022-08-30,13:33:14 Z,52.479555166666664,13.4224995
43,2022-08-30,13:33:19 Z,52.479553833333334,13.422505333333334
44,2022-08-30,13:33:24 Z,52.47955683333333,13.422504333333332
45,2022-08-30,13:33:29 Z,52.479523,13.422508833333334
46,2022-08-30,13:33:34 Z,52.47950516666667,13.422509833333333
47,2022-08-30,13:33:39 Z,52.479497333333335,13.4225035
48,2022-08-30,13:33:44 Z,52.479475666666666,13.422488
49,2022-08-30,13:33:49 Z,52.47950633333333,13.422465833333334
50,2022-08-30,13:33:54 Z,52.47953366666667,13.422454666666667
51,2022-08-30,13:33:59 Z,52.47955183333333,13.422447666666667
52,2022-08-30,13:34:04 Z,52.47958783333333,13.422454333333333
53,2022-08-30,13:34:09 Z,52.479593,13.422466833333333
54,2022-08-30,13:34:14 Z,52.47959433333333,13.422476166666666
55,2022-08-30,13:34:19 Z,52.479614,13.422458666666667
56,2022-08-30,13:34:24 Z,52.47965533333333,13.4224465
57,2022-08-30,13:34:29 Z,52.479708333333335,13.422444166666667
58,2022-08-30,13:34:34 Z,52.479701666666664,13.422440166666666
59,2022-08-30,13:34:39 Z,52.479683,13.422448166666667
60,2022-08-30,13:34:44 Z,52.479667666666664,13.422452166666666
61,2022-08-30,13:34:49 Z,52.479652333333334,13.422456833333333
62,2022-08-30,13:34:54 Z,52.479623833333335,13.422464833333333
63,2022-08-30,13:34:59 Z,52.479617166666664,13.4224645
64,2022-08-30,13:35:04 Z,52.47961183333334,13.422465166666667
65,2022-08-30,13:35:09 Z,52.4796,13.4224685
66,2022-08-30,13:35:14 Z,52.479602166666666,13.422470833333334
