mvid,llid,dt,warning,lat,lng,spd_knots,spd_ms,bearing,mag_var
0,0,2022-10-27 11:09:51 Z,A,49.502573166666664,5.948926883333334,0.0,0.0,,-1.1
1,1,2022-10-27 11:09:53 Z,A,49.50266141666667,5.948894066666667,0.0,0.0,,-1.1
2,2,2022-10-27 11:09:54 Z,A,49.50265073333333,5.948899016666667,0.0,0.0,,-1.1
3,3,2022-10-27 11:09:55 Z,A,49.50264273333333,5.9489075499999995,0.0,0.0,,-1.1
4,4,2022-10-27 11:09:56 Z,A,49.50263291666667,5.9489111333333335,0.0,0.0,,-1.1
5,5,2022-10-27 11:09:57 Z,A,49.5026185,5.948909633333333,0.0,0.0,,-1.1
6,6,2022-10-27 11:09:58 Z,A,49.502610266666665,5.948901433333333,0.0,0.0,,-1.1
7,7,2022-10-27 11:09:59 Z,A,49.50261116666667,5.948898266666666,0.0,0.0,,-1.1
8,8,2022-10-27 11:10:00 Z,A,49.502606283333336,5.94889405,0.0,0.0,,-1.1
9,9,2022-10-27 11:10:01 Z,A,49.50261281666667,5.948893366666667,1.2,0.6173328,230.9,-1.1
10,10,2022-10-27 11:10:02 Z,A,49.502606283333336,5.948899766666667,0.0,0.0,,-1.1
11,11,2022-10-27 11:10:03 Z,A,49.50262133333333,5.948923233333334,0.0,0.0,,-1.1
12,12,2022-10-27 11:10:04 Z,A,49.502625333333334,5.9489242,0.0,0.0,,-1.1
13,13,2022-10-27 11:10:05 Z,A,49.50262576666667,5.94891925,0.0,0.0,,-1.1
14,14,2022-10-27 11:10:06 Z,A,49.50263253333333,5.9489085500000005,0.0,0.0,,-1.1
15,15,2022-10-27 11:10:07 Z,A,49.50264453333333,5.9489186499999995,0.0,0.0,,-1.1
16,16,2022-10-27 11:10:08 Z,A,49.50264848333333,5.948920883333333,0.0,0.0,,-1.1
17,17,2022-10-27 11:10:09 Z,A,49.50263416666667,5.948926133333334,1.0,0.514444,185.0,-1.1
18,18,2022-10-27 11:10:10 Z,A,49.502623283333335,5.9489283,1.2,0.6173328,192.3,-1.1
19,19,2022-10-27 11:10:11 Z,A,49.502614566666665,5.948923033333333,1.7,0.8745548,215.2,-1.1
20,20,2022-10-27 11:10:12 Z,A,49.50260456666667,5.948920566666667,2.3,1.1832212,204.2,-1.1
21,21,2022-10-27 11:10:13 Z,A,49.50259583333333,5.94891305,2.1,1.0803324,204.4,-1.1
22,22,2022-10-27 11:10:14 Z,A,49.50257873333334,5.94892425,2.1,1.0803324,173.6,-1.1
23,23,2022-10-27 11:10:15 Z,A,49.502563566666666,5.948910883333333,2.2,1.1317768000000001,157.1,-1.1
24,24,2022-10-27 11:10:16 Z,A,49.50255918333333,5.9489115833333335,1.4,0.7202216,147.7,-1.1
25,25,2022-10-27 11:10:17 Z,A,49.502559233333336,5.9489000999999995,1.4,0.7202216,154.3,-1.1
26,26,2022-10-27 11:10:18 Z,A,49.50254953333334,5.948893733333334,1.7,0.8745548,187.0,-1.1
27,27,2022-10-27 11:10:19 Z,A,49.50254465,5.94888725,0.6,0.3086664,180.5,-1.1
28,28,2022-10-27 11:10:20 Z,A,49.50253803333333,5.948879983333334,1.3,0.6687772000000001,190.9,-1.1
29,29,2022-10-27 11:10:21 Z,A,49.50252868333333,5.948869216666667,1.8,0.9259992,198.4,-1.1
30,30,2022-10-27 11:10:22 Z,A,49.502516916666664,5.9488586833333335,2.0,1.028888,182.0,-1.1
31,31,2022-10-27 11:10:23 Z,A,49.502505416666665,5.9488533,1.5,0.771666,181.9,-1.1
32,32,2022-10-27 11:10:24 Z,A,49.50249718333333,5.948851783333334,0.7,0.3601108,181.9,-1.1
33,33,2022-10-27 11:10:25 Z,A,49.5024899,5.9488506,0.8,0.4115552,182.0,-1.1
34,34,2022-10-27 11:10:26 Z,A,49.502479783333335,5.948847533333334,2.1,1.0803324,182.0,-1.1
35,35,2022-10-27 11:10:27 Z,A,49.50246668333333,5.948839783333334,2.4,1.2346656,182.2,-1.1
36,36,2022-10-27 11:10:28 Z,A,49.5024546,5.9488319,2.0,1.028888,178.0,-1.1
37,37,2022-10-27 11:10:29 Z,A,49.50244096666667,5.948822183333333,2.9,1.4918876,178.1,-1.1
