mvid,llid,dt,warning,lat,lng,spd_knots,spd_ms,bearing,mag_var
0,0,2022-10-27 11:17:01 Z,A,49.50132216666667,5.944431,0.960,0.49386624,177.96,
1,0,2022-10-27 11:17:02 Z,A,49.50129883333334,5.944433166666666,0.926,0.47637514400000003,178.43,
2,0,2022-10-27 11:17:03 Z,A,49.50123416666667,5.944441666666666,0.701,0.360625244,,
3,0,2022-10-27 11:17:04 Z,A,49.501171666666664,5.944446,0.499,0.256707556,,
4,0,2022-10-27 11:17:05 Z,A,49.50113366666667,5.9444495,0.087,0.044756628,,
5,1,2022-10-27 11:17:06 Z,A,49.50110166666666,5.944451333333333,0.026,0.013375544,,
6,1,2022-10-27 11:17:07 Z,A,49.501060833333334,5.944451166666667,0.260,0.13375544,,
7,1,2022-10-27 11:17:08 Z,A,49.5010285,5.944453833333333,0.391,0.201147604,,
8,1,2022-10-27 11:17:09 Z,A,49.501005166666666,5.944453833333333,0.607,0.312267508,,
9,1,2022-10-27 11:17:10 Z,A,49.500991,5.944450166666667,0.723,0.371943012,,
10,2,2022-10-27 11:17:11 Z,A,49.500976666666666,5.944447333333334,0.223,0.11472101200000001,,
11,2,2022-10-27 11:17:12 Z,A,49.500976,5.944449,0.071,0.036525524,,
12,2,2022-10-27 11:17:13 Z,A,49.50097616666667,5.944446666666667,0.037,0.019034428,,
13,2,2022-10-27 11:17:14 Z,A,49.500976666666666,5.944444166666667,0.056,0.028808864,,
14,2,2022-10-27 11:17:15 Z,A,49.50099183333333,5.944439,0.671,0.34519192400000004,,
15,3,2022-10-27 11:17:16 Z,A,49.50100183333333,5.94444,0.299,0.153818756,,
16,3,2022-10-27 11:17:17 Z,A,49.50100533333333,5.9444411666666666,0.066,0.033953304000000004,,
17,3,2022-10-27 11:17:18 Z,A,49.501028833333336,5.944441,0.566,0.29117530399999997,,
18,3,2022-10-27 11:17:19 Z,A,49.50104233333333,5.9444425,0.148,0.076137712,,
19,3,2022-10-27 11:17:20 Z,A,49.501067666666664,5.9444436666666665,0.101,0.051958844000000004,,
20,4,2022-10-27 11:17:21 Z,A,49.501070166666665,5.944444166666667,0.743,0.382231892,,
21,4,2022-10-27 11:17:22 Z,A,49.50109366666667,5.9444425,0.056,0.028808864,,
22,4,2022-10-27 11:17:23 Z,A,49.501115,5.944445,0.349,0.179540956,,
23,4,2022-10-27 11:17:24 Z,A,49.501137666666665,5.944450333333333,0.384,0.19754649600000002,,
24,4,2022-10-27 11:17:25 Z,A,49.50115316666667,5.944455666666666,0.267,0.13735654800000002,,
25,5,2022-10-27 11:17:26 Z,A,49.50117016666667,5.9444605,0.064,0.032924416,,
26,5,2022-10-27 11:17:27 Z,A,49.501189833333335,5.944463333333333,0.397,0.20423426800000002,,
27,5,2022-10-27 11:17:28 Z,A,49.501189333333336,5.94447,0.261,0.134269884,,
28,5,2022-10-27 11:17:29 Z,A,49.50119466666666,5.9444721666666664,0.399,0.205263156,,
29,5,2022-10-27 11:17:30 Z,A,49.501182166666666,5.944482166666667,0.449,0.230985356,,
30,6,2022-10-27 11:17:31 Z,A,49.501185166666666,5.9444851666666665,0.228,0.11729323200000001,,
31,6,2022-10-27 11:17:32 Z,A,49.5011915,5.944485666666667,0.068,0.034982192,,
32,6,2022-10-27 11:17:33 Z,A,49.501210666666665,5.9444825,0.070,0.03601108,,
33,6,2022-10-27 11:17:34 Z,A,49.501235666666666,5.9444783333333335,0.293,0.15073209199999998,,
34,6,2022-10-27 11:17:35 Z,A,49.5012745,5.944472666666667,0.589,0.303007516,,
35,7,2022-10-27 11:17:36 Z,A,49.50131966666667,5.944466,0.891,0.45836960400000004,,
