mvid,llid,dt,warning,lat,lng,spd_knots,spd_ms,bearing,mag_var
0,0,2022-08-30 13:29:45 Z,A,52.47965166666667,13.422464,0.699,0.359596356,,
1,0,2022-08-30 13:29:46 Z,A,52.47964966666667,13.4224645,0.501,0.257736444,,
2,0,2022-08-30 13:29:47 Z,A,52.47964533333333,13.422466333333332,0.451,0.232014244,,
3,0,2022-08-30 13:29:48 Z,A,52.479645166666664,13.422472333333333,1.081,0.556113964,,
4,0,2022-08-30 13:29:49 Z,A,52.479644666666665,13.422474,0.568,0.292204192,,
5,1,2022-08-30 13:29:50 Z,A,52.479631833333336,13.422483333333334,1.016,0.5226751040000001,,
6,1,2022-08-30 13:29:51 Z,A,52.479627666666666,13.422484166666667,0.787,0.40486742800000003,,
7,1,2022-08-30 13:29:52 Z,A,52.479617166666664,13.422485833333333,0.969,0.498496236,,
8,1,2022-08-30 13:29:53 Z,A,52.479620833333335,13.422484,0.590,0.30352196,,
9,1,2022-08-30 13:29:54 Z,A,52.47961566666667,13.42248,0.640,0.32924416,,
10,2,2022-08-30 13:29:55 Z,A,52.4796155,13.422480833333333,0.389,0.200118716,,
11,2,2022-08-30 13:29:56 Z,A,52.47960833333333,13.422483166666666,0.756,0.388919664,,
12,2,2022-08-30 13:29:57 Z,A,52.479607666666666,13.422484333333333,0.552,0.28397308800000004,,
13,2,2022-08-30 13:29:58 Z,A,52.4796025,13.422486,0.540,0.27779976,,
14,2,2022-08-30 13:29:59 Z,A,52.4796075,13.422484666666668,0.187,0.09620102800000001,,
15,3,2022-08-30 13:30:00 Z,A,52.4796095,13.422483666666666,0.083,0.042698852,,
16,3,2022-08-30 13:30:01 Z,A,52.479616,13.422483,0.301,0.154847644,,
17,3,2022-08-30 13:30:02 Z,A,52.4796155,13.422484166666667,0.197,0.10134546800000001,,
18,3,2022-08-30 13:30:03 Z,A,52.479615833333334,13.4224855,0.226,0.116264344,,
19,3,2022-08-30 13:30:04 Z,A,52.47960883333333,13.4224875,0.068,0.034982192,,
20,4,2022-08-30 13:30:05 Z,A,52.479607666666666,13.4224865,0.155,0.07973882,,
21,4,2022-08-30 13:30:06 Z,A,52.479606833333335,13.422486833333334,0.100,0.0514444,,
22,4,2022-08-30 13:30:07 Z,A,52.47960416666667,13.422488166666668,0.173,0.088998812,,
23,4,2022-08-30 13:30:08 Z,A,52.479597166666665,13.422490833333333,0.244,0.12552433600000001,,
24,4,2022-08-30 13:30:09 Z,A,52.479595333333336,13.4224905,0.247,0.127067668,,
25,5,2022-08-30 13:30:10 Z,A,52.47959483333333,13.422490166666666,0.023,0.011832212,,
26,5,2022-08-30 13:30:11 Z,A,52.479586166666664,13.4224915,0.442,0.227384248,,
27,5,2022-08-30 13:30:12 Z,A,52.47958033333333,13.422490833333333,0.560,0.28808864,,
28,5,2022-08-30 13:30:13 Z,A,52.47957383333333,13.422491333333333,0.735,0.37811634,,
29,5,2022-08-30 13:30:14 Z,A,52.479568666666665,13.422493833333334,0.187,0.09620102800000001,,
30,6,2022-08-30 13:30:15 Z,A,52.479565666666666,13.422494166666667,0.131,0.067392164,,
31,6,2022-08-30 13:30:16 Z,A,52.479563166666665,13.422493833333334,0.110,0.05658884,,
32,6,2022-08-30 13:30:17 Z,A,52.479562666666666,13.4224925,0.122,0.06276216800000001,,
