svid,llid,satsys,satnum,elev,azim,SNR
0,0,GPS,01,31,142,
1,0,GPS,03,59,073,
2,0,GPS,04,69,170,
3,0,GPS,06,29,307,
4,0,GPS,09,36,210,
5,0,GPS,12,00,000,
6,0,GLN,70,28,050,
7,0,GLN,86,57,188,
8,0,GLN,73,00,000,
9,0,GLN,79,10,008,
10,0,GLN,88,03,331,
11,0,GLN,87,47,316,
12,0,GLN,71,76,001,
13,0,GLN,72,42,247,
14,0,GPS,01,31,142,
15,0,GPS,03,59,073,
16,0,GPS,04,69,170,
17,0,GPS,06,29,307,
18,0,GPS,09,36,210,
19,0,GPS,12,00,000,
20,0,GLN,70,28,050,
21,0,GLN,86,57,188,
22,0,GLN,73,00,000,
23,0,GLN,79,10,008,
24,0,GLN,88,03,331,
25,0,GLN,87,47,316,
26,0,GLN,71,76,001,
27,0,GLN,72,42,247,
28,0,GPS,01,31,142,
29,0,GPS,03,59,073,
30,0,GPS,04,69,170,
31,0,GPS,06,29,307,
32,0,GPS,09,36,210,
33,0,GPS,12,00,000,
34,0,GLN,70,28,050,
35,0,GLN,86,57,188,
36,0,GLN,73,00,000,
37,0,GLN,79,10,008,
38,0,GLN,88,03,331,
39,0,GLN,87,47,316,
40,0,GLN,71,76,001,
41,0,GLN,72,42,247,
42,0,GPS,01,31,142,
43,0,GPS,03,59,073,
44,0,GPS,04,69,170,
45,0,GPS,06,29,307,
46,0,GPS,09,36,210,
47,0,GPS,12,00,000,
48,0,GLN,70,28,050,
49,0,GLN,86,57,188,
50,0,GLN,73,00,000,
51,0,GLN,79,10,008,
52,0,GLN,88,03,331,
53,0,GLN,87,47,316,
54,0,GLN,71,76,001,
55,0,GLN,72,42,247,
56,0,GPS,01,31,142,
57,0,GPS,03,59,073,
58,0,GPS,04,69,170,
59,0,GPS,06,29,307,
60,0,GPS,09,36,210,
61,0,GPS,12,00,000,
62,0,GLN,70,28,050,
63,0,GLN,86,57,188,
64,0,GLN,73,00,000,
65,0,GLN,79,10,008,
66,0,GLN,88,03,331,
67,0,GLN,87,47,316,
68,0,GLN,71,76,001,
69,0,GLN,72,42,247,
70,0,GPS,01,31,142,
71,0,GPS,03,59,073,
72,0,GPS,04,69,170,
73,0,GPS,06,29,307,
74,0,GPS,09,36,210,
75,0,GPS,12,00,000,
76,0,GLN,70,28,050,
77,0,GLN,86,57,188,
78,0,GLN,73,00,000,
79,0,GLN,79,10,008,
80,0,GLN,88,03,331,
81,0,GLN,87,47,316,
82,0,GLN,71,76,001,
83,0,GLN,72,42,247,
84,0,GPS,01,31,142,
85,0,GPS,03,59,073,
86,0,GPS,04,69,170,
87,0,GPS,06,29,307,
88,0,GPS,09,36,210,
89,0,GPS,12,00,000,
