svid,llid,satsys,satnum,elev,azim,SNR
0,0,GPS,18,,,19
1,0,GPS,18,,,09
2,0,GPS,18,,,08
3,0,GPS,22,,,08
4,0,GPS,22,,,08
5,0,GPS,16,,,22
6,0,GPS,16,,,20
7,0,GPS,19,,,30
8,0,GPS,20,,,27
9,0,GPS,03,,,22
10,0,GPS,16,,,18
11,0,GPS,19,,,23
12,0,GPS,20,,,31
13,0,GPS,03,,,20
14,0,GPS,07,,,31
15,0,GPS,16,,,19
16,0,GPS,19,,,22
17,0,GPS,20,,,34
18,0,GPS,03,,,21
19,0,GPS,07,,,27
20,0,GPS,16,,,19
21,0,GPS,19,,,23
22,0,GPS,20,,,35
23,0,GPS,03,,,20
24,0,GPS,07,,,27
25,0,GPS,16,,,20
26,0,GPS,19,,,24
27,0,GPS,20,,,26
28,0,GPS,03,,,28
29,0,GPS,06,,,28
30,0,GPS,07,,,24
31,0,GPS,16,,,17
32,0,GPS,19,,,25
33,0,GPS,20,,,40
34,0,GPS,03,,,32
35,0,GPS,06,,,32
36,0,GPS,07,,,31
37,0,GPS,16,,,23
38,0,GPS,19,,,21
39,0,GPS,20,,,35
40,0,GPS,03,,,34
41,0,GPS,06,,,23
42,0,GPS,07,,,29
43,0,GPS,09,,,31
44,0,GPS,11,,,26
45,0,GPS,16,10,082,22
46,0,GPS,19,,,23
47,0,GPS,20,,,23
48,0,GPS,03,,,36
49,0,GPS,06,,,18
50,0,GPS,07,,,27
51,0,GPS,09,,,25
52,0,GPS,11,,,28
53,0,GPS,16,10,082,23
54,0,GPS,19,,,22
55,0,GPS,20,,,36
56,0,GPS,03,,,39
57,0,GPS,06,,,20
58,0,GPS,07,,,38
59,0,GPS,09,,,26
60,0,GPS,11,,,23
61,0,GPS,16,10,082,24
62,0,GPS,19,,,21
63,0,GPS,20,,,30
64,0,GPS,03,,,35
65,0,GPS,06,,,21
66,0,GPS,07,,,28
67,0,GPS,09,,,27
68,0,GPS,11,,,25
69,0,GPS,16,10,082,23
70,0,GPS,19,,,24
71,0,GPS,20,,,20
72,0,GPS,03,,,32
73,0,GPS,06,,,24
74,0,GPS,07,,,27
75,0,GPS,09,,,29
76,0,GPS,11,,,19
77,0,GPS,16,10,082,25
78,0,GPS,19,,,25
79,0,GPS,20,,,18
80,0,GPS,03,,,26
81,0,GPS,06,,,22
82,0,GPS,07,,,26
83,0,GPS,09,,,28
84,0,GPS,11,,,18
85,0,GPS,16,10,082,23
86,0,GPS,19,,,22
87,0,GPS,20,,,17
88,0,GPS,03,,,28
89,0,GPS,04,,,27
90,0,GPS,06,,,22
91,0,GPS,07,,,26
92,0,GPS,09,,,25
93,0,GPS,11,,,17
94,0,GPS,16,10,082,25
95,0,GPS,19,,,25
96,0,GPS,20,,,17
97,0,GPS,03,,,30
98,0,GPS,04,,,32
99,0,GPS,06,,,19
100,0,GPS,07,,,25
101,0,GPS,09,,,26
102,0,GPS,11,,,15
103,0,GPS,16,11,082,22
104,0,GPS,19,,,26
105,0,GPS,20,,,13
106,0,GPS,03,,,22
107,0,GPS,04,,,25
108,0,GPS,06,,,29
109,0,GPS,07,,,28
110,0,GPS,09,,,13
111,0,GPS,11,,,17
112,0,GPS,16,11,082,20
113,0,GPS,19,,,26
114,0,GPS,20,,,18
115,0,GPS,03,,,30
116,0,GPS,04,,,20
117,0,GPS,06,,,30
118,0,GPS,07,,,39
119,0,GPS,09,,,20
120,0,GPS,11,,,21
121,0,GPS,16,11,082,18
122,0,GPS,19,,,25
123,0,GPS,20,,,18
124,0,GPS,03,,,30
125,0,GPS,04,,,20
126,0,GPS,06,,,35
127,0,GPS,07,,,39
128,0,GPS,09,,,25
129,0,GPS,11,,,21
130,0,GPS,16,11,082,17
131,0,GPS,19,,,25
132,0,GPS,20,,,21
133,0,GPS,03,,,32
134,0,GPS,04,,,19
135,0,GPS,06,,,30
136,0,GPS,07,,,40
137,0,GPS,09,,,26
138,0,GPS,11,,,21
139,0,GPS,16,11,082,18
140,0,GPS,19,,,24
141,0,GPS,20,,,22
142,0,GPS,03,,,36
143,0,GPS,04,,,21
144,0,GPS,06,,,35
145,0,GPS,07,,,41
146,0,GPS,09,,,27
147,0,GPS,11,,,30
148,0,GPS,16,11,082,17
149,0,GPS,19,,,25
150,0,GPS,20,,,24
151,0,GPS,03,,,37
152,0,GPS,04,,,23
153,0,GPS,06,,,25
154,0,GPS,07,,,36
155,0,GPS,09,,,24
156,0,GPS,11,,,24
157,0,GPS,16,11,082,16
158,0,GPS,19,,,22
159,0,GPS,20,,,26
160,0,GPS,03,,,35
161,0,GPS,04,,,35
162,0,GPS,06,,,29
163,0,GPS,07,,,31
164,0,GPS,09,,,27
165,0,GPS,11,,,25
166,0,GPS,16,11,082,16
167,0,GPS,19,,,22
168,0,GPS,20,,,25
169,0,GPS,03,,,31
170,0,GPS,04,,,25
171,0,GPS,06,,,23
172,0,GPS,07,,,24
173,0,GPS,09,,,27
174,0,GPS,11,,,24
175,0,GPS,16,11,082,17
176,0,GPS,19,,,31
177,0,GPS,20,,,20
178,0,GPS,03,,,37
179,0,GPS,04,,,30
180,0,GPS,06,,,30
181,0,GPS,07,,,31
182,0,GPS,09,,,26
183,0,GPS,11,,,22
184,0,GPS,16,11,082,17
185,0,GPS,19,,,25
186,0,GPS,20,,,26
187,0,GPS,03,,,32
188,0,GPS,04,,,23
189,0,GPS,06,,,28
190,0,GPS,07,,,21
191,0,GPS,09,,,27
192,0,GPS,11,,,25
193,0,GPS,16,11,082,17
194,0,GPS,19,,,23
195,0,GPS,20,,,28
196,0,GPS,03,,,32
197,0,GPS,04,,,23
198,0,GPS,06,,,28
199,0,GPS,07,,,21
200,0,GPS,09,,,27
201,0,GPS,11,,,25
202,0,GPS,16,11,082,17
203,0,GPS,19,,,23
204,0,GPS,20,,,28
205,0,GPS,03,,,26
