rid,time,satnum,elev,azim,SNR
0,,18,,,19
0,,18,,,09
0,,18,,,08
0,,22,,,08
0,,22,,,08
0,,16,,,22
0,,16,,,20
0,,19,,,30
0,,20,,,27
0,,03,,,22
0,,16,,,18
0,,19,,,23
0,,20,,,31
0,,03,,,20
0,,07,,,31
0,,16,,,19
0,,19,,,22
0,,20,,,34
0,,03,,,21
0,,07,,,27
0,,16,,,19
0,,19,,,23
0,,20,,,35
0,,03,,,20
0,,07,,,27
0,,16,,,20
0,,19,,,24
0,,20,,,26
0,,03,,,28
0,,06,,,28
0,,07,,,24
0,,16,,,17
0,,19,,,25
0,,20,,,40
0,,03,,,32
0,,06,,,32
0,,07,,,31
0,,16,,,23
0,,19,,,21
0,,20,,,35
0,,03,,,34
0,,06,,,23
0,,07,,,29
0,,09,,,31
0,,11,,,26
0,,16,10,082,22
0,,19,,,23
0,,20,,,23
0,,03,,,36
0,,06,,,18
0,,07,,,27
0,,09,,,25
0,,11,,,28
0,,16,10,082,23
0,,19,,,22
0,,20,,,36
0,,03,,,39
0,,06,,,20
0,,07,,,38
0,,09,,,26
0,,11,,,23
0,,16,10,082,24
0,,19,,,21
0,,20,,,30
0,,03,,,35
0,,06,,,21
0,,07,,,28
0,,09,,,27
0,,11,,,25
0,,16,10,082,23
0,,19,,,24
0,,20,,,20
0,,03,,,32
0,,06,,,24
0,,07,,,27
0,,09,,,29
0,,11,,,19
0,,16,10,082,25
0,,19,,,25
0,,20,,,18
0,,03,,,26
0,,06,,,22
0,,07,,,26
0,,09,,,28
0,,11,,,18
0,,16,10,082,23
0,,19,,,22
0,,20,,,17
0,,03,,,28
0,,04,,,27
0,,06,,,22
0,,07,,,26
0,,09,,,25
0,,11,,,17
0,,16,10,082,25
0,,19,,,25
0,,20,,,17
0,,03,,,30
0,,04,,,32
0,,06,,,19
0,,07,,,25
0,,09,,,26
0,,11,,,15
0,,16,11,082,22
0,,19,,,26
0,,20,,,13
0,,03,,,22
0,,04,,,25
0,,06,,,29
0,,07,,,28
0,,09,,,13
0,,11,,,17
0,,16,11,082,20
0,,19,,,26
0,,20,,,18
0,,03,,,30
0,,04,,,20
0,,06,,,30
0,,07,,,39
0,,09,,,20
0,,11,,,21
0,,16,11,082,18
0,,19,,,25
0,,20,,,18
0,,03,,,30
0,,04,,,20
0,,06,,,35
0,,07,,,39
0,,09,,,25
0,,11,,,21
0,,16,11,082,17
0,,19,,,25
0,,20,,,21
0,,03,,,32
0,,04,,,19
0,,06,,,30
0,,07,,,40
0,,09,,,26
0,,11,,,21
0,,16,11,082,18
0,,19,,,24
0,,20,,,22
0,,03,,,36
0,,04,,,21
0,,06,,,35
0,,07,,,41
0,,09,,,27
0,,11,,,30
0,,16,11,082,17
0,,19,,,25
0,,20,,,24
0,,03,,,37
0,,04,,,23
0,,06,,,25
0,,07,,,36
0,,09,,,24
0,,11,,,24
0,,16,11,082,16
0,,19,,,22
0,,20,,,26
0,,03,,,35
0,,04,,,35
0,,06,,,29
0,,07,,,31
0,,09,,,27
0,,11,,,25
0,,16,11,082,16
0,,19,,,22
0,,20,,,25
0,,03,,,31
0,,04,,,25
0,,06,,,23
0,,07,,,24
0,,09,,,27
0,,11,,,24
0,,16,11,082,17
0,,19,,,31
0,,20,,,20
0,,03,,,37
0,,04,,,30
0,,06,,,30
0,,07,,,31
0,,09,,,26
0,,11,,,22
0,,16,11,082,17
0,,19,,,25
0,,20,,,26
0,,03,,,32
