rid,llid,time,satnum,elev,azim,SNR
0,1,06:59:06 Z,02,28,105,41
1,1,06:59:06 Z,03,01,356,
2,1,06:59:06 Z,06,23,058,27
3,1,06:59:06 Z,11,21,103,29
4,1,06:59:06 Z,12,66,062,28
5,1,06:59:06 Z,19,09,039,14
6,1,06:59:06 Z,22,32,303,26
7,1,06:59:06 Z,24,39,140,35
8,1,06:59:06 Z,25,63,274,20
9,1,06:59:06 Z,29,25,199,27
10,1,06:59:06 Z,31,12,305,29
11,1,06:59:06 Z,32,40,276,23
12,2,06:59:11 Z,02,28,105,22
13,2,06:59:11 Z,03,01,356,
14,2,06:59:11 Z,06,23,058,26
15,2,06:59:11 Z,11,22,103,21
16,2,06:59:11 Z,12,66,062,34
17,2,06:59:11 Z,19,09,039,20
18,2,06:59:11 Z,22,32,303,23
19,2,06:59:11 Z,24,39,140,30
20,2,06:59:11 Z,25,63,274,29
21,2,06:59:11 Z,29,25,199,27
22,2,06:59:11 Z,31,12,305,27
23,2,06:59:11 Z,32,40,276,23
24,3,06:59:16 Z,02,28,105,21
25,3,06:59:16 Z,03,01,356,
26,3,06:59:16 Z,06,23,058,26
27,3,06:59:16 Z,11,22,103,23
28,3,06:59:16 Z,12,66,062,28
29,3,06:59:16 Z,19,09,039,23
30,3,06:59:16 Z,22,32,303,21
31,3,06:59:16 Z,24,39,140,38
32,3,06:59:16 Z,25,63,274,25
33,3,06:59:16 Z,29,25,199,40
34,3,06:59:16 Z,31,12,305,28
35,3,06:59:16 Z,32,40,276,32
36,4,06:59:21 Z,02,28,105,22
37,4,06:59:21 Z,03,01,356,
38,4,06:59:21 Z,06,23,058,22
39,4,06:59:21 Z,11,22,103,24
40,4,06:59:21 Z,12,66,062,17
41,4,06:59:21 Z,19,09,039,22
42,4,06:59:21 Z,22,33,303,25
43,4,06:59:21 Z,24,39,140,32
44,4,06:59:21 Z,25,63,274,26
45,4,06:59:21 Z,29,25,199,41
46,4,06:59:21 Z,31,12,305,30
47,4,06:59:21 Z,32,40,276,33
48,5,06:59:26 Z,02,28,105,22
49,5,06:59:26 Z,03,01,356,
50,5,06:59:26 Z,06,23,058,19
51,5,06:59:26 Z,11,22,103,24
52,5,06:59:26 Z,12,66,062,16
53,5,06:59:26 Z,19,09,039,24
54,5,06:59:26 Z,22,33,303,26
55,5,06:59:26 Z,24,38,140,40
56,5,06:59:26 Z,25,64,274,25
57,5,06:59:26 Z,29,26,199,36
58,5,06:59:26 Z,31,12,305,23
59,5,06:59:26 Z,32,40,276,26
60,6,06:59:31 Z,02,28,105,20
61,6,06:59:31 Z,03,01,356,09
62,6,06:59:31 Z,06,23,058,22
63,6,06:59:31 Z,11,22,103,21
64,6,06:59:31 Z,12,66,062,29
65,6,06:59:31 Z,19,09,039,21
66,6,06:59:31 Z,22,33,303,35
67,6,06:59:31 Z,24,38,140,22
68,6,06:59:31 Z,25,64,274,22
69,6,06:59:31 Z,29,26,199,37
70,6,06:59:31 Z,31,12,305,21
71,6,06:59:31 Z,32,40,276,27
72,7,06:59:36 Z,02,28,105,20
73,7,06:59:36 Z,03,01,356,
74,7,06:59:36 Z,06,23,058,23
75,7,06:59:36 Z,11,22,103,20
76,7,06:59:36 Z,12,66,062,26
77,7,06:59:36 Z,19,09,039,25
78,7,06:59:36 Z,22,33,303,30
79,7,06:59:36 Z,24,38,140,28
80,7,06:59:36 Z,25,64,274,27
81,7,06:59:36 Z,29,26,199,33
82,7,06:59:36 Z,31,12,305,20
83,7,06:59:36 Z,32,40,276,26
84,8,06:59:41 Z,02,28,105,20
85,8,06:59:41 Z,03,01,356,
86,8,06:59:41 Z,06,23,058,23
87,8,06:59:41 Z,11,22,103,17
88,8,06:59:41 Z,12,66,062,23
89,8,06:59:41 Z,19,09,039,19
90,8,06:59:41 Z,22,33,303,19
91,8,06:59:41 Z,24,38,140,19
92,8,06:59:41 Z,25,64,274,22
93,8,06:59:41 Z,29,26,199,23
94,8,06:59:41 Z,31,12,305,20
95,8,06:59:41 Z,32,40,276,29
96,9,06:59:46 Z,02,28,105,26
97,9,06:59:46 Z,03,02,356,
98,9,06:59:46 Z,06,23,058,35
99,9,06:59:46 Z,11,22,103,31
100,9,06:59:46 Z,12,66,062,25
101,9,06:59:46 Z,19,09,039,24
102,9,06:59:46 Z,22,33,303,20
103,9,06:59:46 Z,24,38,140,
104,9,06:59:46 Z,25,64,274,17
105,9,06:59:46 Z,29,26,199,23
106,9,06:59:46 Z,31,12,305,18
107,9,06:59:46 Z,32,40,276,23
108,10,06:59:51 Z,02,28,105,16
109,10,06:59:51 Z,03,02,356,
110,10,06:59:51 Z,06,23,057,41
111,10,06:59:51 Z,11,22,103,32
112,10,06:59:51 Z,12,66,062,28
113,10,06:59:51 Z,19,09,039,26
114,10,06:59:51 Z,22,33,303,30
115,10,06:59:51 Z,24,38,140,23
116,10,06:59:51 Z,25,64,274,29
117,10,06:59:51 Z,29,26,199,20
118,10,06:59:51 Z,31,12,305,23
119,10,06:59:51 Z,32,40,276,30
120,11,06:59:56 Z,02,28,105,39
121,11,06:59:56 Z,03,02,356,
122,11,06:59:56 Z,06,23,057,33
123,11,06:59:56 Z,11,22,103,38
124,11,06:59:56 Z,12,66,062,38
125,11,06:59:56 Z,19,09,039,28
126,11,06:59:56 Z,22,33,303,29
127,11,06:59:56 Z,24,38,140,36
128,11,06:59:56 Z,25,64,274,28
129,11,06:59:56 Z,29,26,199,34
130,11,06:59:56 Z,31,12,305,33
131,11,06:59:56 Z,32,40,276,28
132,12,07:00:01 Z,02,28,105,23
133,12,07:00:01 Z,03,02,356,14
134,12,07:00:01 Z,06,23,057,38
135,12,07:00:01 Z,11,22,103,26
136,12,07:00:01 Z,12,66,062,23
137,12,07:00:01 Z,19,08,039,32
138,12,07:00:01 Z,22,33,303,27
139,12,07:00:01 Z,24,38,140,30
140,12,07:00:01 Z,25,64,274,24
141,12,07:00:01 Z,29,26,199,24
142,12,07:00:01 Z,31,12,305,35
143,12,07:00:01 Z,32,40,276,31
144,13,07:00:06 Z,02,28,105,32
145,13,07:00:06 Z,03,02,356,
146,13,07:00:06 Z,06,23,057,43
147,13,07:00:06 Z,11,22,103,36
148,13,07:00:06 Z,12,66,062,34
149,13,07:00:06 Z,19,08,039,27
150,13,07:00:06 Z,22,33,303,31
151,13,07:00:06 Z,24,38,140,30
152,13,07:00:06 Z,25,64,274,23
153,13,07:00:06 Z,29,26,199,23
154,13,07:00:06 Z,31,12,305,32
155,13,07:00:06 Z,32,40,276,25
156,14,07:00:11 Z,02,28,105,30
157,14,07:00:11 Z,03,02,356,13
158,14,07:00:11 Z,06,23,057,35
159,14,07:00:11 Z,11,22,103,32
160,14,07:00:11 Z,12,66,062,24
161,14,07:00:11 Z,19,08,039,26
162,14,07:00:11 Z,22,33,303,29
163,14,07:00:11 Z,24,38,140,28
164,14,07:00:11 Z,25,64,275,30
165,14,07:00:11 Z,29,26,199,24
166,14,07:00:11 Z,31,12,305,33
167,14,07:00:11 Z,32,40,276,32
168,15,07:00:16 Z,02,28,105,33
169,15,07:00:16 Z,03,02,356,
170,15,07:00:16 Z,06,23,057,32
171,15,07:00:16 Z,11,22,103,38
172,15,07:00:16 Z,12,66,062,34
173,15,07:00:16 Z,19,08,039,26
174,15,07:00:16 Z,22,33,303,34
175,15,07:00:16 Z,24,38,140,32
176,15,07:00:16 Z,25,64,275,24
177,15,07:00:16 Z,29,26,199,26
178,15,07:00:16 Z,31,12,305,35
179,15,07:00:16 Z,32,40,276,32
180,16,07:00:21 Z,02,28,105,31
181,16,07:00:21 Z,03,02,356,
182,16,07:00:21 Z,06,23,057,29
183,16,07:00:21 Z,11,22,103,27
184,16,07:00:21 Z,12,66,062,33
185,16,07:00:21 Z,19,08,039,24
186,16,07:00:21 Z,22,33,303,32
187,16,07:00:21 Z,24,38,140,35
188,16,07:00:21 Z,25,64,275,24
189,16,07:00:21 Z,29,26,199,29
190,16,07:00:21 Z,31,12,305,34
191,16,07:00:21 Z,32,40,276,32
192,17,07:00:26 Z,02,28,105,25
193,17,07:00:26 Z,03,02,356,
194,17,07:00:26 Z,06,23,057,31
195,17,07:00:26 Z,11,22,103,23
196,17,07:00:26 Z,12,66,062,33
197,17,07:00:26 Z,19,08,039,25
198,17,07:00:26 Z,22,33,303,31
199,17,07:00:26 Z,24,38,140,26
200,17,07:00:26 Z,25,64,275,22
201,17,07:00:26 Z,29,26,199,28
202,17,07:00:26 Z,31,12,305,23
203,17,07:00:26 Z,32,40,276,38
204,18,07:00:31 Z,02,28,104,30
205,18,07:00:31 Z,03,02,355,17
206,18,07:00:31 Z,06,23,057,36
207,18,07:00:31 Z,11,22,103,24
208,18,07:00:31 Z,12,66,062,33
209,18,07:00:31 Z,19,08,039,20
210,18,07:00:31 Z,22,33,303,34
211,18,07:00:31 Z,24,38,140,21
212,18,07:00:31 Z,25,64,275,23
213,18,07:00:31 Z,29,26,199,31
214,18,07:00:31 Z,31,12,305,25
215,18,07:00:31 Z,32,40,276,33
216,19,07:00:36 Z,02,28,104,25
217,19,07:00:36 Z,03,02,355,
218,19,07:00:36 Z,06,23,057,31
219,19,07:00:36 Z,11,22,103,24
220,19,07:00:36 Z,12,66,062,28
221,19,07:00:36 Z,19,08,039,21
222,19,07:00:36 Z,22,33,303,35
223,19,07:00:36 Z,24,38,140,23
224,19,07:00:36 Z,25,64,275,25
225,19,07:00:36 Z,29,26,199,25
226,19,07:00:36 Z,31,12,305,24
227,19,07:00:36 Z,32,40,276,30
228,20,07:00:41 Z,02,28,104,25
229,20,07:00:41 Z,03,02,355,
230,20,07:00:41 Z,06,23,057,32
231,20,07:00:41 Z,11,22,102,25
232,20,07:00:41 Z,12,65,063,32
233,20,07:00:41 Z,19,08,039,22
234,20,07:00:41 Z,22,33,303,35
235,20,07:00:41 Z,24,38,140,22
236,20,07:00:41 Z,25,64,275,24
237,20,07:00:41 Z,29,26,199,26
238,20,07:00:41 Z,31,12,305,26
239,20,07:00:41 Z,32,40,276,35
