svid,llid,satsys,satnum,elev,azim,SNR
0,1,GPS,01,08,159,10
1,1,GPS,03,44,104,27
2,1,GPS,04,78,087,31
3,1,GPS,06,48,296,22
4,1,GPS,07,06,183,
5,1,GPS,09,60,229,36
6,1,GPS,11,18,316,17
7,1,GPS,17,09,229,
8,1,GPS,19,21,251,29
9,1,GPS,26,07,075,15
10,1,GPS,31,15,036,15
11,2,GPS,01,08,159,13
12,2,GPS,03,44,104,34
13,2,GPS,04,78,087,27
14,2,GPS,06,48,296,28
15,2,GPS,07,06,183,
16,2,GPS,09,60,229,40
17,2,GPS,11,18,316,18
18,2,GPS,17,09,229,
19,2,GPS,19,21,251,29
20,2,GPS,26,08,075,12
21,2,GPS,31,15,036,16
22,3,GPS,01,08,159,09
23,3,GPS,03,44,104,33
24,3,GPS,04,78,087,24
25,3,GPS,06,48,296,21
26,3,GPS,07,06,183,
27,3,GPS,09,60,229,35
28,3,GPS,11,18,316,21
29,3,GPS,17,09,229,
30,3,GPS,19,21,251,33
31,3,GPS,26,08,075,08
32,3,GPS,31,14,036,14
33,4,GPS,01,08,159,11
34,4,GPS,03,44,104,32
35,4,GPS,04,78,087,30
36,4,GPS,06,48,296,24
37,4,GPS,07,06,183,
38,4,GPS,09,60,229,39
39,4,GPS,11,18,316,17
40,4,GPS,17,09,229,
41,4,GPS,19,21,251,27
42,4,GPS,26,08,075,09
43,4,GPS,31,14,036,15
44,5,GPS,01,08,159,09
45,5,GPS,03,44,104,33
46,5,GPS,04,78,087,27
47,5,GPS,06,48,296,24
48,5,GPS,07,06,183,
49,5,GPS,09,60,229,38
50,5,GPS,11,18,316,22
51,5,GPS,17,09,229,
52,5,GPS,19,21,251,35
53,5,GPS,26,08,075,13
54,5,GPS,31,14,036,11
55,6,GPS,01,08,159,08
56,6,GPS,03,44,104,37
57,6,GPS,04,78,087,31
58,6,GPS,06,48,296,27
59,6,GPS,07,06,183,
60,6,GPS,09,60,229,31
61,6,GPS,11,18,316,16
62,6,GPS,17,09,229,16
63,6,GPS,19,21,251,37
64,6,GPS,26,08,075,12
65,6,GPS,31,14,036,19
66,7,GPS,01,08,159,10
67,7,GPS,03,43,104,30
68,7,GPS,04,77,086,26
69,7,GPS,06,49,296,22
70,7,GPS,07,06,182,
71,7,GPS,09,60,229,29
72,7,GPS,11,18,316,24
73,7,GPS,17,09,229,08
74,7,GPS,19,21,251,38
75,7,GPS,26,08,075,14
76,7,GPS,31,14,036,21
77,8,GPS,01,08,159,13
78,8,GPS,03,43,104,29
79,8,GPS,04,77,086,20
80,8,GPS,06,49,296,15
81,8,GPS,07,06,182,
82,8,GPS,09,60,229,37
83,8,GPS,11,18,316,18
84,8,GPS,17,09,229,
85,8,GPS,19,21,251,28
86,8,GPS,26,08,075,
87,8,GPS,31,14,036,15
88,9,GPS,01,08,159,09
89,9,GPS,03,43,104,32
90,9,GPS,04,77,086,21
91,9,GPS,06,49,296,19
92,9,GPS,07,06,182,
93,9,GPS,09,60,229,37
94,9,GPS,11,18,316,16
95,9,GPS,17,09,228,18
96,9,GPS,19,21,251,31
97,9,GPS,26,08,075,
98,9,GPS,31,14,036,14
99,10,GPS,01,08,159,08
100,10,GPS,03,43,104,35
101,10,GPS,04,77,086,27
102,10,GPS,06,49,296,20
103,10,GPS,07,06,182,
104,10,GPS,09,60,229,25
105,10,GPS,11,18,316,13
106,10,GPS,17,09,228,16
107,10,GPS,19,21,251,21
108,10,GPS,26,08,075,
109,10,GPS,31,14,036,17
110,11,GPS,01,08,159,11
111,11,GPS,03,43,104,35
112,11,GPS,04,77,086,27
113,11,GPS,06,49,296,19
114,11,GPS,07,06,182,
115,11,GPS,09,60,229,33
116,11,GPS,11,18,316,15
117,11,GPS,17,09,228,
118,11,GPS,19,21,251,31
119,11,GPS,26,08,075,
120,11,GPS,31,14,036,13
121,12,GPS,01,08,159,09
122,12,GPS,03,43,104,33
123,12,GPS,04,77,086,30
124,12,GPS,06,49,296,22
125,12,GPS,07,06,182,
126,12,GPS,09,60,229,37
127,12,GPS,11,18,316,09
128,12,GPS,17,09,228,
129,12,GPS,19,21,251,29
130,12,GPS,26,08,075,
131,12,GPS,31,14,036,18
132,13,GPS,01,08,159,08
133,13,GPS,03,43,104,33
134,13,GPS,04,77,086,26
135,13,GPS,06,49,296,29
136,13,GPS,07,06,182,
137,13,GPS,09,60,229,37
138,13,GPS,11,18,316,15
139,13,GPS,17,09,228,
140,13,GPS,19,21,251,27
141,13,GPS,26,08,075,
142,13,GPS,31,14,036,12
143,14,GPS,01,08,159,09
144,14,GPS,03,43,104,35
145,14,GPS,04,77,086,27
146,14,GPS,06,49,296,30
147,14,GPS,07,06,182,
148,14,GPS,09,60,229,34
149,14,GPS,11,18,316,15
150,14,GPS,17,09,228,14
151,14,GPS,19,21,251,27
152,14,GPS,26,08,075,
153,14,GPS,31,14,036,12
154,15,GPS,01,08,159,08
155,15,GPS,03,43,104,29
156,15,GPS,04,77,086,31
157,15,GPS,06,49,296,21
158,15,GPS,07,06,182,
159,15,GPS,09,60,229,44
160,15,GPS,11,18,316,16
161,15,GPS,17,09,228,
162,15,GPS,19,21,251,32
163,15,GPS,26,08,075,
164,15,GPS,31,14,036,12
165,16,GPS,01,08,159,09
166,16,GPS,03,43,104,32
167,16,GPS,04,77,085,28
168,16,GPS,06,49,295,12
169,16,GPS,07,07,182,
170,16,GPS,09,60,229,28
171,16,GPS,11,18,316,22
172,16,GPS,17,09,228,19
173,16,GPS,19,21,251,35
174,16,GPS,26,08,075,
175,16,GPS,31,14,036,15
176,17,GPS,01,08,159,09
177,17,GPS,03,43,104,25
178,17,GPS,04,77,085,26
179,17,GPS,06,49,295,21
180,17,GPS,07,07,182,
181,17,GPS,09,60,229,26
182,17,GPS,11,18,315,19
183,17,GPS,17,09,228,14
184,17,GPS,19,21,251,34
185,17,GPS,26,08,075,
186,17,GPS,31,14,036,07
187,18,GPS,01,08,159,11
188,18,GPS,03,43,104,34
189,18,GPS,04,77,085,29
190,18,GPS,06,49,295,25
191,18,GPS,07,07,182,
192,18,GPS,09,60,229,28
193,18,GPS,11,18,315,
194,18,GPS,17,09,228,19
195,18,GPS,19,21,251,32
196,18,GPS,26,08,075,
197,18,GPS,31,14,036,12
198,19,GPS,01,08,159,12
199,19,GPS,03,43,104,26
