fid,rid,time,lat,lng,deviation
"1","0",11:09:51,49.5025731670,5.9489268833,7.094
"2","1",11:09:53,49.5026614170,5.9488940667,12.387
"3","2",11:09:54,49.5026507330,5.9488990167,11.679
"4","3",11:09:55,49.5026427330,5.9489075500,10.816
"5","4",11:09:56,49.5026329170,5.9489111333,10.232
"6","5",11:09:57,49.5026185000,5.9489096333,9.840
"7","6",11:09:58,49.5026102670,5.9489014333,10.122
"8","7",11:09:59,49.5026111670,5.9488982667,10.371
"9","8",11:10:00,49.5026062830,5.9488940500,10.494
"10","9",11:10:01,49.5026128170,5.9488933667,10.765
"11","10",11:10:02,49.5026062830,5.9488997667,10.100
"12","11",11:10:03,49.5026213330,5.9489232333,9.000
"13","12",11:10:04,49.5026253330,5.9489242000,9.071
"14","13",11:10:05,49.5026257670,5.9489192500,9.427
"15","14",11:10:06,49.5026325330,5.9489085500,10.397
"16","15",11:10:07,49.5026445330,5.9489186500,10.113
"17","16",11:10:08,49.5026484830,5.9489208833,10.095
"18","17",11:10:09,49.5026341670,5.9489261333,9.241
"19","18",11:10:10,49.5026232830,5.9489283000,8.718
"20","19",11:10:11,49.5026145670,5.9489230333,8.782
"21","20",11:10:12,49.5026045670,5.9489205667,8.608
"22","21",11:10:13,49.5025958330,5.9489130500,8.826
"23","22",11:10:14,49.5025787330,5.9489242500,7.467
"24","23",11:10:15,49.5025635670,5.9489108833,7.866
"25","24",11:10:16,49.5025591830,5.9489115833,7.668
"26","25",11:10:17,49.5025592330,5.9489001000,8.460
"27","26",11:10:18,49.5025495330,5.9488937333,8.566
"28","27",11:10:19,49.5025446500,5.9488872500,8.845
"29","28",11:10:20,49.5025380330,5.9488799833,9.118
"30","29",11:10:21,49.5025286830,5.9488692167,9.538
"31","30",11:10:22,49.5025169170,5.9488586833,9.860
"32","31",11:10:23,49.5025054170,5.9488533000,9.836
"33","32",11:10:24,49.5024971830,5.9488517833,9.657
"34","33",11:10:25,49.5024899000,5.9488506000,9.489
"35","34",11:10:26,49.5024797830,5.9488475333,9.352
"36","35",11:10:27,49.5024666830,5.9488397833,9.436
"37","36",11:10:28,49.5024546000,5.9488319000,9.564
"38","37",11:10:29,49.5024409670,5.9488221833,9.765
"39","38",11:10:30,49.5024295500,5.9488152167,9.853
"40","39",11:10:31,49.5024174670,5.9488073333,9.981
"41","40",11:10:32,49.5024065330,5.9487960500,10.383
"42","41",11:10:33,49.5024017670,5.9487855000,10.946
"43","42",11:10:34,49.5024000170,5.9487803667,11.239
"44","43",11:10:35,49.5024027670,5.9487799667,11.361
"45","44",11:10:36,49.5024064330,5.9487842500,11.192
"46","45",11:10:37,49.5024085170,5.9487889667,10.939
"47","46",11:10:38,49.5024091500,5.9488030833,9.988
"48","47",11:10:39,49.5024077000,5.9488202333,8.757
"49","48",11:10:40,49.5024022170,5.9488359667,7.484
"50","49",11:10:41,49.5023962000,5.9488465333,6.550
"51","50",11:10:42,49.5023880330,5.9488509167,5.967
"52","51",11:10:43,49.5023797000,5.9488545500,5.431
"53","52",11:10:44,49.5023727830,5.9488601667,4.806
"54","53",11:10:45,49.5023606830,5.9488710167,3.643
"55","54",11:10:46,49.5023449830,5.9488881167,1.925
"56","55",11:10:47,49.5023340670,5.9488975833,0.898
"57","56",11:10:48,49.5023272670,5.9488993000,0.546
"58","57",11:10:49,49.5023201670,5.9488958667,0.539
"59","58",11:10:50,49.5023099830,5.9488928000,0.400
"60","59",11:10:51,49.5023022670,5.9488878333,0.477
"61","60",11:10:52,49.5022969000,5.9488842500,0.540
