fid,rid,time,lat,lng,_count,_sum,_mean,_median,_stdev,_min,_max
"1","0",11:09:51.000,49.502573167000001,5.948926883300000,7721.000000000000000,42795.443771362304688,5.542733295086428,0.000000000000000,8.767550307990319,0.000000000000000,74.108917236328125
"2","1",11:09:53.000,49.502661416999999,5.948894066700000,7639.000000000000000,38459.076866149902344,5.034569559647848,0.000000000000000,8.190608714878676,0.000000000000000,74.108917236328125
"3","2",11:09:54.000,49.502650733000003,5.948899016700000,7667.000000000000000,38898.301435708999634,5.073470905922656,0.000000000000000,8.242344302634654,0.000000000000000,74.108917236328125
"4","3",11:09:55.000,49.502642733000002,5.948907550000000,7670.000000000000000,39131.146600961685181,5.101844406905044,0.000000000000000,8.276548521959318,0.000000000000000,74.108917236328125
"5","4",11:09:56.000,49.502632917000000,5.948911133300000,7691.000000000000000,39331.469127535820007,5.113960359840830,0.000000000000000,8.294563069502114,0.000000000000000,74.108917236328125
"6","5",11:09:57.000,49.502618499999997,5.948909633300000,7696.000000000000000,39522.222229719161987,5.135423886398020,0.000000000000000,8.328641829632394,0.000000000000000,74.108917236328125
"7","6",11:09:58.000,49.502610267000001,5.948901433300000,7709.000000000000000,39799.110332727432251,5.162681324779794,0.000000000000000,8.334554875601581,0.000000000000000,74.108917236328125
"8","7",11:09:59.000,49.502611166999998,5.948898266700000,7709.000000000000000,39820.326984643936157,5.165433517271234,0.000000000000000,8.336748162590666,0.000000000000000,74.108917236328125
"9","8",11:10:00.000,49.502606282999999,5.948894050000000,7717.000000000000000,39991.554678797721863,5.182267031073956,0.000000000000000,8.349341654332893,0.000000000000000,74.108917236328125
"10","9",11:10:01.000,49.502612816999999,5.948893366700000,7708.000000000000000,39803.325089216232300,5.163897909861992,0.000000000000000,8.337040775744551,0.000000000000000,74.108917236328125
"11","10",11:10:02.000,49.502606282999999,5.948899766700000,7720.000000000000000,39954.490559220306750,5.175452144976726,0.000000000000000,8.345976651962925,0.000000000000000,74.108917236328125
"12","11",11:10:03.000,49.502621333000000,5.948923233300000,7703.000000000000000,39539.409096002578735,5.132988328703438,0.000000000000000,8.321585257367158,0.000000000000000,74.108917236328125
"13","12",11:10:04.000,49.502625332999997,5.948924200000000,7672.000000000000000,39367.071709513664246,5.131265864118048,0.000000000000000,8.317983615270030,0.000000000000000,74.108917236328125
